link,title,body,attachment_0_link,attachment_0_name,attachment_1_link,attachment_1_name,attachment_2_link,attachment_2_name,attachment_3_link,attachment_3_name,attachment_4_link,attachment_4_name,attachment_5_link,attachment_5_name,attachment_6_link,attachment_6_name,attachment_7_link,attachment_7_name,attachment_8_link,attachment_8_name,attachment_9_link,attachment_9_name,attachment_10_link,attachment_10_name,attachment_11_link,attachment_11_name,attachment_12_link,attachment_12_name,attachment_13_link,attachment_13_name,attachment_14_link,attachment_14_name,attachment_15_link,attachment_15_name,attachment_16_link,attachment_16_name,attachment_17_link,attachment_17_name,attachment_18_link,attachment_18_name,attachment_19_link,attachment_19_name,attachment_20_link,attachment_20_name,attachment_21_link,attachment_21_name,attachment_22_link,attachment_22_name,attachment_23_link,attachment_23_name,opening date,closing date,ISBN,person,addr,email
http://www.communities.gov.uk/publications/planningandbuilding/valuing-external,Valuing the External Benefits of Undeveloped Land: A Review of the Economic Literature,"This report intends to offer greater awareness of the economic value of different types of undeveloped land in the UK. It supplies a typology of undeveloped land and external benefits offered by each land type resulting in a matrix of potential values. The report generates a summary of existing values for benefits from certain land types found in the valuation literature and makes recommendations for further work to fill crucial gaps.  
**   
Note:** The above publication was issued by our former department, the Office of the Deputy Prime Minister (ODPM). ODPM became Communities and Local Government **on** **5 May 2006** - all references in the text to ODPM now refer to Communities and Local Government.  
_   
The findings and recommendations in these reports are those of the consultant authors and do not necessarily represent the views or proposed policies of Communities and Local Government.  
_
",http://www.communities.gov.uk/publications/planningandbuilding/valuing-external?view=Order+form&supplierId=1403826,Order this publication,http://www.communities.gov.uk/documents/planningandbuilding/pdf/summary-tables.pdf,Annex 2: Summary tables of studies by land type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 December 2002,20 November 2007,1 85 112592 2,,,
http://www.communities.gov.uk/publications/planningandbuilding/revocationyhrss,Environmental report on the revocation of the Yorkshire and Humber Plan,"As part of its stated commitment to protecting the environment the Government decided to carry out an environmental assessment of the revocation of the existing regional strategies, on a voluntary basis. It is the Government's clear policy intention to revoke existing regional strategies outside London, but this is subject to the outcome of environmental assessments and will not be undertaken until the Secretary of State and Parliament have had the opportunity to consider the findings of the assessments.

The regional strategy whose revocation is proposed is the _Yorkshire and Humber Plan Regional Spatial Strategy to 2026_, published in May 2008. The environmental report on the revocation of the Yorkshire and Humber Plan is available below.
",http://www.communities.gov.uk/documents/planningandbuilding/pdf/2012158.pdf,Environmental report on the revocation of the Yorkshire and Humber Plan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20 October 2011,20 January 2012,9781409831167,,,
http://www.communities.gov.uk/publications/planningandbuilding/revocationserss,Environmental report on the revocation of the South East Plan,"As part of its stated commitment to protecting the environment the Government decided to carry out an environmental assessment of the revocation of the existing regional strategies, on a voluntary basis. It is the Government's clear policy intention to revoke existing regional strategies outside London, but this is subject to the outcome of environmental assessments and will not be undertaken until the Secretary of State and Parliament have had the opportunity to consider the findings of the assessments.

The regional strategy whose revocation is proposed is the _South East Plan_, published in May 2009. The environmental report on the revocation of the South East Plan is available below.
",http://www.communities.gov.uk/documents/planningandbuilding/pdf/2012179.pdf,Environmental report on the revocation of the South East Plan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20 October 2011,20 January 2012,9781409831198,,,
http://www.communities.gov.uk/publications/planningandbuilding/revocationemrss,Environmental report on the revocation of the East Midlands Regional Plan,"As part of its stated commitment to protecting the environment the Government decided to carry out an environmental assessment of the revocation of the existing regional strategies, on a voluntary basis. It is the Government's clear policy intention to revoke existing regional strategies outside London, but this is subject to the outcome of environmental assessments and will not be undertaken until the Secretary of State and Parliament have had the opportunity to consider the findings of the assessments.

The regional strategy whose revocation is proposed is the _East Midlands Regional Plan (RRS8)_, published in March 2009. The environmental report on the revocation of the East Midlands Regional Plan is available below.

 
",http://www.communities.gov.uk/documents/planningandbuilding/pdf/2012166.pdf,Environmental report on the revocation of the East Midlands Regional Plan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20 October 2011,20 January 2012,9781409831181,,,
http://www.communities.gov.uk/publications/corporate/ordnancesurveyconresponse,Policy options for geographic information from Ordnance Survey: Consultation - Government Response,"The Government response to consultation sets out the package of datasets and products from Ordnance Survey that will be made available for free use and re-use from 1 April 2010. 
",http://www.communities.gov.uk/documents/corporate/pdf/1528263.pdf,Policy options for geographic information from Ordnance Survey: Consultation - Government Response,http://www.communities.gov.uk/documents/corporate/pdf/1737148.pdf,"Policy options for geographic information from Ordnance Survey - Individual responses, part  1",http://www.communities.gov.uk/documents/corporate/pdf/1737151.pdf,"Policy options for geographic information from Ordnance Survey - Individual responses, part  2",http://www.communities.gov.uk/documents/corporate/pdf/1737145.pdf,"Policy options for geographic information from Ordnance Survey - Individual responses, part 3 (response submitted in hard copy)",http://www.communities.gov.uk/documents/corporate/pdf/1737154.pdf,Policy options for geographic information from Ordnance Survey - organisational responses 1-D,http://www.communities.gov.uk/documents/corporate/pdf/1737158.pdf,Policy options for geographic information from Ordnance Survey - organisational responses ACPO,http://www.communities.gov.uk/documents/corporate/pdf/1737161.pdf,Policy options for geographic information from Ordnance Survey - organisational responses ACPO Cymru,http://www.communities.gov.uk/documents/corporate/pdf/1737172.pdf,Policy options for geographic information from Ordnance Survey - organisational responses Bord na Gaidhlig,http://www.communities.gov.uk/documents/corporate/pdf/1737183.pdf,Policy options for geographic information from Ordnance Survey - organisational responses E-H,http://www.communities.gov.uk/documents/corporate/pdf/1737199.pdf,Policy options for geographic information from Ordnance Survey - organisational response Federation Against Software Theft,http://www.communities.gov.uk/documents/corporate/pdf/1737206.pdf,Policy options for geographic information from Ordnance Survey - organisational responses I-N,http://www.communities.gov.uk/documents/corporate/pdf/1737225.pdf,Policy options for geographic information from Ordnance Survey - organisational response Joint Chairs Group,http://www.communities.gov.uk/documents/corporate/pdf/1737233.pdf,Policy options for geographic information from Ordnance Survey - organisational response Latitude Mapping,http://www.communities.gov.uk/documents/corporate/pdf/1737249.pdf,Policy options for geographic information from Ordnance Survey - organisational responses O-R,http://www.communities.gov.uk/documents/corporate/pdf/1737263.pdf,Policy options for geographic information from Ordnance Survey - organisational response Public Centre Central Procurement,http://www.communities.gov.uk/documents/corporate/pdf/1737268.pdf,Policy options for geographic information from Ordnance Survey - organisational responses S-Z,http://www.communities.gov.uk/documents/corporate/pdf/1737274.pdf,Policy options for geographic information from Ordnance Survey - organisational response South Staffs Water,http://www.communities.gov.uk/documents/corporate/pdf/1737284.pdf,Policy options for geographic information from Ordnance Survey - organisational response TM Group,,,,,,,,,,,,,31 March 2010,,9781409824169,,,
http://www.communities.gov.uk/publications/corporate/ordnancesurveyconsultation,Policy options for geographic information from Ordnance Survey: Consultation,"Consultation paper on the Government's proposal to open up Ordnance Survey's data relating to electoral and local authority boundaries, postcode areas and mid scale mapping information. 
",http://www.communities.gov.uk/documents/corporate/pdf/1411177.pdf,Policy options for geographic information from Ordnance Survey: Consultation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23 December 2009,17 March 2010,9781409821007,,,
http://www.communities.gov.uk/publications/corporate/singleequalityschemeconsultation,Creating a Single Equality Scheme for 2010-13 - Consultation,"This consultation document is seeking the views of stakeholders on the possible priorities for our Department's first Single Equality Scheme 2010-13.  
",http://www.communities.gov.uk/publications/corporate/singleequalityschemeconsultation?view=Order+form&supplierId=1403822,Order this publication,http://www.communities.gov.uk/documents/corporate/pdf/987402.pdf,Creating a Single Equality Scheme for 2010-13 - Consultation,http://www.communities.gov.uk/documents/corporate/pdf/1423558.pdf,Making just one plan to treat everyone fairly and equally (Easy-read version),http://www.communities.gov.uk/documents/corporate/pdf/1423560,Making just one plan to treat everyone fairly and equally - Answers book (Easy read version),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7 December 2009,28 February 2010,9781409820970,,,
http://www.communities.gov.uk/corporate/publications/consultations/?doPaging=true&resultsPerPage=891&next=true&currentPageNumber=2,Consultations,"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/corporate/publications/consultations/?doPaging=true&resultsPerPage=891&currentPageNumber=2,Consultations,"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/localgovernment/vteframeworkconsultation,Valuation Tribunal for England: Regulatory Framework and Detailed Arrangements - A consultation paper,"The Government plans to fully establish the Valuation Tribunal for England (VTE) on 1 October this year, as the single national tribunal for the hearing of appeals in relation to council tax and business rates in England. The VTE will take over the jurisdiction of the current 56 separately constituted valuation tribunals in England. This consultation paper seeks views on proposals for the regulatory framework and the transitional and other detailed arrangements that need to put in place in order to fully establish the VTE and for it to take on the jurisdiction of the existing valuation tribunals in England on 1 October 2009. 
",http://www.communities.gov.uk/documents/localgovernment/pdf/1175826.pdf,Valuation Tribunal for England: Regulatory Framework and Detailed Arrangements - A consultation paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16 March 2009,8 June 2009,9781409812258,,,
