link,title,body,images_0_url,images_0_alt,images_1_url,images_1_alt,images_2_url,images_2_alt,images_3_url,images_3_alt,images_4_url,images_4_alt,images_5_url,images_5_alt,images_6_url,images_6_alt,published
http://www.communities.gov.uk/issuesandresponses/newsroom/157498911,Right to Buy Scheme for council house tenants is not under review,"Press speculation that the Government has begun a review of the Right to Buy Scheme for council house tenants is not true.

A spokesperson for Communities and Local Government said:

> ""We have absolutely no plans to change the Right to Buy Scheme, and it is not under review. Since its launch in the early 1980s, the Right to Buy Scheme has helped thousands of people into home ownership and has helped create mixed communities.""
",,,,,,,,,,,,,,,17 September 2010
http://www.communities.gov.uk/issuesandresponses/newsroom/1946611,Response to an inaccurate article in The Daily Telegraph about the Government's forthcoming planning reforms,"Response to article in The Daily Telegraph, 'New planning laws endanger wildlife sites' 18 July 2011.

A Department for Communities and Local Government spokesman said:

> ""The Coalition Government has no intention of weakening its commitment to the environment or removing protections that safeguard landscapes and preserve wildlife.
> 
> ""The Wildlife Trusts statement that the National Planning Policy Framework will dilute these protections is wrong. What we are doing is consolidating thousands of pages of Whitehall planning guidance into one clear, short document but not at the expense of the environment.
> 
> ""This clearer framework will continue and improve protections for wildlife sites for future generations while allowing for the creation of the new homes, jobs and businesses people want.""
",,,,,,,,,,,,,,,18 July 2011
http://www.communities.gov.uk/issuesandresponses/newsroom/1964548,Bob Neill responds to suggestions that the Localism Bill will allow the introduction of smoking bans in public places,"Reports suggesting that the Localism Bill will allow the introduction of smoking bans in public places are wide off the mark. There is nothing in this Bill that provides additional powers to prohibit smoking in open spaces or in private cars.

We are giving councils a general power of competence - this will allow them to do the things that any individual generally could. It will particularly help councils find new ways to work to save money and protect frontline services. But that does not permit the introduction of new regulation on the broader public.
",,,,,,,,,,,,,,,11 August 2011
http://www.communities.gov.uk/issuesandresponses/newsroom/1974718,Andrew Stunell responds to an article in the Guardian on social housing,"Communities Minister Andrew Stunell responds to an article in the Guardian suggesting that families will be priced out of social housing by plans for higher rents.

> Dear Sir,
> 
> Far from what your article suggested, social rents will not increase to 80 per cent of market levels ""across the board"" (Families on benefit 'will be priced out of social housing', Sunday 21 August). Our Affordable Homes programme will lead to thousands more homes being delivered over the next four years, as well as ensuring the mix of homes this country needs are built.
> 
> Appetite for our Affordable Homes Programme has far exceeded expectations - we now expect to provide up to 170,000 new affordable homes by 2015, compared to the 150,000 originally. As providers have bid to offer affordable rent homes, their rents have been set at a range of levels up to 80 per cent of market rent - and in London, the majority of these were well below 80 per cent.
> 
> As a Government we have been clear from the outset that these changes will not affect the tenancy rights of existing tenants, or the wider responsibilities of landlords. Existing social tenants will still pay the same rent levels they are now, and some 95 per cent of new social tenants will still be on social rents in 2015. These homes will be available to help some of the millions of people stuck on waiting lists across the country. And your article also failed to highlight how this research from the Cambridge Centre recognises how the Affordable Rent programme could ease the strain of meeting private rents for thousands of struggling families.
> 
> Andrew Stunell MP  
Communities Minister
",,,,,,,,,,,,,,,30 August 2011
http://www.communities.gov.uk/issuesandresponses/newsroom/1980244,Grant Shapps responds to judge's ruling on squatters rights,"Housing Minister Grant Shapps responds to judge's ruling ordering a London council to publish a list of empty homes in their area.

Grant Shapps said:

> ""This is a bizarre decision that flies in the face of common sense. Rather than trying to prevent the anti-social and unfair practice of squatting, this judge is instead insisting that Camden Council publish a 'squatter's road map' - which in other areas has led to the numbers of squats doubling.
> 
> ""We've been clear that we want to bring more empty homes back into use, which is why I'm making £100million available to help council-led efforts to do so and rewarding those that house people in former empty homes through the New Homes Bonus, by matching the council tax raised on those properties for six years.
> 
> ""But I also want to shut the door on so-called 'squatter's rights' once and for all, and end the misery, expense and hassle that far too many people have had to endure for too long, which is why we are consulting on making squatting a criminal offence.""
",,,,,,,,,,,,,,,6 September 2011
http://www.communities.gov.uk/issuesandresponses/newsroom/1999306,Bob Neill writes to The Times about town centres,"### Town centres first

Sir,

Contrary to suggestions in Alice Thomson's article (Opinion, Sept 28) the coalition Government is firmly committed to supporting our town centres. Our planning reforms actually safeguard a ""town centre first"" policy for new retail development to help to protect the high street. It states clearly that councils should recognise town centres as the heart of their communities and should pursue policies to allow them to thrive.

Strengthening our town centres goes hand-in-hand with reforms to make the planning system work in the interests of all our communities.

Bob Neill, MP  
Local Government Minister
",,,,,,,,,,,,,,,30 September 2011
http://www.communities.gov.uk/issuesandresponses/newsroom/2003898,Response to concerns about sustainable development threatening playing fields,"The Department responds to an article in the Telegraph raising concerns that the presumption in favour of sustainable development will threaten playing fields.

Alex Welsh should be reassured that strong planning protections will safeguard London's playing fields ('We need to safeguard London's playing fields or suffer the consequences', 6 October 2011).

Communities will have new powers to protect green spaces special to them thanks to a new Local Green Spaces designation which can be used to protect playing fields, allotments, community gardens and other recreational spaces. And we are increasing planning protections for valued community facilities to save them from unnecessary loss.

The Government is also maintaining protection for the Green Belt, and the Mayor and London Boroughs will continue to be able to safeguard Metropolitan Open Land.

The planning reforms ensure communities are central to deciding the areas they wish to see developed and those to be protected, through their Local Plan.  It is these plans that will drive planning decisions.

We desperately need to bring about new homes and jobs but this will not be at the expense of our green spaces.  Making sure people can go on enjoying their local amenities is at the heart of the changes.
",,,,,,,,,,,,,,,7 October 2011
http://www.communities.gov.uk/issuesandresponses/newsroom/2080467,Response to article in the Metro on repossessions,"Housing Minister Grant Shapps responds to article in the Metro on repossessions.

Dear Sir

By lumping together statistics on the evictions of homeowners, social tenants and private tenants your article (March of the Bailiffs, Monday 30 January) painted an inaccurate and misleading representation, which overlooks how Government action is ensuring struggling households get the support they need.

The numbers of mortgage repossessions are expected to be lower than the Council of Mortgage Lenders' original forecast of 40,000 for 2011 - also lower than the rate inherited from the previous Government.

We are committed to ensuring real help, support and advice is available to help ensure that even in tough times repossession remains the last resort. We have taken decisive action to tackle the record deficit we inherited, preventing the need for rapid increases in interest rates that would have put a strain on family budgets. We've maintained £400million preventing homelessness funding and put a further £200million towards the Mortgage Rescue Scheme.

I would urge anyone struggling to pay their mortgage to seek help as early as possible. The Directgov website as well as organisations such as Citizens Advice, Shelter and National Debtline are on hand to offer the advice and information that can help put people in the best possible position to keep their homes.

Grant Shapps MP
",,,,,,,,,,,,,,,2 February 2012
http://www.communities.gov.uk/issuesandresponses/newsroom/2086370,A 'Heads of Agreement' for Firefighters' Pension Scheme reached,"The Government has today published a Heads of Agreement for the Firefighters' Pension Scheme in England. This follows constructive engagement with representatives of all four firefighter unions.

The Government pays tribute to the importance of the work undertaken by our fire and rescue service and the bravery, dedication and professionalism of the men and women who work in it. The Government is committed to providing public service pensions that are sustainable, fair and effective.

Building on the proposals brought forward by Lord Hutton, these proposals aim to strike a balanced deal between public service workers and the taxpayer. They will ensure that public service workers continue to have access to good pensions, while taxpayers benefit from greater control over their costs.

The Heads of Agreement presents a fair and affordable long-term reform package that means firefighters will look to their future retirement with certainty and with a pension to reflect their valuable years of service.

Public sector pensions will remain among the very best available - a guaranteed level and inflation proofed. Only 1 in 10 private sector workers have access to such schemes.'

This Heads of Agreement sets out the main elements of a scheme design that will form the basis for ongoing discussions about reforms to be introduced from 2015. Trades unions have agreed to take this package to their Executives and, if appropriate, their membership for further consideration.

Further discussions on the remaining detail will take place over the coming weeks.

### Related publications

  * #### [Firefighters' Pension Scheme: Heads of Agreement](http://www.communities.gov.uk/publications/fire/pensionsheadsofagreement)

    * Published: 9 February 2012
    * Site: Fire and emergencies
",,,,,,,,,,,,,,,9 February 2012
http://www.communities.gov.uk/issuesandresponses/newsroom/2087430,Eric Pickles responds to high court judgement on council prayers,"Eric Pickles, Secretary of State for Communities and Local Government, responds to the high court ruling against prayers being said before council meetings.

He said:

> ""This ruling is surprising and disappointing.
> 
> ""While welcoming and respecting fellow British citizens who belong to other faiths, we are a Christian country, with an established Church in England, governed by the Queen.
> 
> ""Christianity plays an important part in the culture, heritage and fabric of our nation. Public authorities - be it Parliament or a parish council - should have the right to say prayers before meetings if they wish.
> 
> ""The right to worship is a fundamental and hard-fought British liberty.
> 
> ""The Localism Act now gives councils a general power of competence - which allows them to undertake any general action that an individual could do unless it is specifically prohibited by law. Logically, this includes prayers before meetings.""
",,,,,,,,,,,,,,,10 February 2012
