old_url,type,title,summary,body,publication_date,URN,attachment_1,attachment_1_title,attachment_2,attachment_2_title,attachment_3,attachment_3_title,attachment_4,attachment_4_title,attachment_5,attachment_5_title,attachment_6,attachment_6_title,attachment_7,attachment_7_title,attachment_8,attachment_8_title,attachment_9,attachment_9_title,associated_organisations,contact_info,i
http://www.dft.gov.uk/foi/dft-f0008725,FOI,Humber Bridge review,Freedom of information response regarding the Humber Bridge Review.,"## Download documents

### Download FOI response

  * [Freedom of information response letter regarding the Humber Bridge review (PDF - 30KB)](http://assets.dft.gov.uk/foi/dft-f0008725/dft-f0008725.pdf)

### Download additional information

  * [Humber Estuary Transport Model: Assessment of Options Report (PDF - 12 MB)](http://assets.dft.gov.uk/foi/dft-f0008725/forecasting-and-economics-report.pdf)
  * [Letter to Ministers from Humber Bridge Board and four Humber area local authorities, 26 February 2012 (PDF - 218KB)](http://assets.dft.gov.uk/foi/dft-f0008725/la-letter-26022012.pdf)
  * [Ministers' reply, 29 February 2012 (PDF - 45KB)](http://assets.dft.gov.uk/foi/dft-f0008725/hmt-letter-29022012.pdf)
  * [Humber Estuary Transport Model: Local Model Validation Report (PDF - 9.2MB)](http://assets.dft.gov.uk/foi/dft-f0008725/lmvr-v16.pdf)
  * [Presentation: results from the Humber Estuary Transport Model (POWERPOINT - 3.5MB)](http://assets.dft.gov.uk/foi/dft-f0008725/hetm-presentation.pptx)
  * [Report of Humber Bridge Board Treasurer to Bridge Board, meeting of 15 Febuary 2012: Humber Bridge Review financial implications (PDF - 58KB)](http://assets.dft.gov.uk/foi/dft-f0008725/hbr-final-implications.pdf)
  * [Financial Implications Report - Appendices 1a & 1b (PDF - 114KB)](http://assets.dft.gov.uk/foi/dft-f0008725/hbr-financial-implications-v17d.xls)
  * [Financial Implications Report - Appendices 2a & 2b (PDF - 77KB)](http://assets.dft.gov.uk/foi/dft-f0008725/hbr-financial-implications-v18a2.xlsx)

## Help downloading or accessing files

  * See [help with downloads](/site/help/downloads)
  * Email the [DfT FOI Enquiry Service](mailto:foi-advice-team-dft@dft.gsi.gov.uk) for an alternative format
", 19 April 2012, F0008725,http://assets.dft.gov.uk/foi/dft-f0008725/dft-f0008725.pdf,Freedom of information response letter regarding the Humber Bridge review (PDF – 30KB),http://assets.dft.gov.uk/foi/dft-f0008725/forecasting-and-economics-report.pdf,Humber Estuary Transport Model: Assessment of Options Report (PDF – 12 MB),http://assets.dft.gov.uk/foi/dft-f0008725/la-letter-26022012.pdf,"Letter to Ministers from Humber Bridge Board and four Humber area local authorities, 26 February 2012 (PDF – 218KB)",http://assets.dft.gov.uk/foi/dft-f0008725/hmt-letter-29022012.pdf,"Ministers’ reply, 29 February 2012 (PDF – 45KB)",http://assets.dft.gov.uk/foi/dft-f0008725/lmvr-v16.pdf,Humber Estuary Transport Model: Local Model Validation Report (PDF – 9.2MB),http://assets.dft.gov.uk/foi/dft-f0008725/hetm-presentation.pptx,Presentation: results from the Humber Estuary Transport Model (POWERPOINT – 3.5MB),http://assets.dft.gov.uk/foi/dft-f0008725/hbr-final-implications.pdf,"Report of Humber Bridge Board Treasurer to Bridge Board, meeting of 15 Febuary 2012: Humber Bridge Review financial implications (PDF – 58KB)",http://assets.dft.gov.uk/foi/dft-f0008725/hbr-financial-implications-v17d.xls,Financial Implications Report – Appendices 1a & 1b (PDF – 114KB),http://assets.dft.gov.uk/foi/dft-f0008725/hbr-financial-implications-v18a2.xlsx,Financial Implications Report – Appendices 2a & 2b (PDF – 77KB),Department for Transport,"### DfT FOI Enquiry Service

Department for Transport  
Information Rights & Records Unit  
D/01, Ashdown House  
Sedlescombe Road North  
St Leonards on Sea, TN37 7GA

Phone: 020 7944 8300

[Contact us](mailto:foi-advice-team-dft@dft.gsi.gov.uk)
",1
http://www.dft.gov.uk/foi/dft-f0009143,FOI,Press and communications,Freedom of information response letter about press and communications in the Department.,"## Download documents

  * [Freedom of information response letter about press and communications in the Department (PDF - 39 KB)](http://assets.dft.gov.uk/foi/dft-f0009143/dft-f0009143.pdf)

## Help downloading or accessing files

  * See [help with downloads](/site/help/downloads)
  * Email the [DfT FOI Enquiry Service](mailto:foi-advice-team-dft@dft.gsi.gov.uk) for an alternative format
", 10 September 2012, f0009143,http://assets.dft.gov.uk/foi/dft-f0009143/dft-f0009143.pdf,Freedom of information response letter about press and communications in the Department (PDF – 39 KB),,,,,,,,,,,,,,,,,Department for Transport,"### DfT FOI Enquiry Service

Department for Transport  
Information Rights & Records Unit  
D/01, Ashdown House  
Sedlescombe Road North  
St Leonards on Sea, TN37 7GA

Phone: 020 7944 8300

[Contact us](mailto:foi-advice-team-dft@dft.gsi.gov.uk)
",2
http://www.dft.gov.uk/foi/dft-e0008892,FOI,Costs of HS2 spur to Heathrow,Freedom of Information response regarding costs of the HS2 spur to Heathrow.,"## Download documents

  * [Freedom of Information response regarding the costs of the HS2 spur to Heathrow (PDF - 164 KB)](http://assets.dft.gov.uk/foi/dft-e0008892/dft-e0008892.pdf)

## Help downloading or accessing files

  * See [help with downloads](/site/help/downloads)
  * Email the [DfT FOI Enquiry Service](mailto:foi-advice-team-dft@dft.gsi.gov.uk) for an alternative format
", 25 October 2012, e0008892,http://assets.dft.gov.uk/foi/dft-e0008892/dft-e0008892.pdf,Freedom of Information response regarding the costs of the HS2 spur to Heathrow (PDF – 164 KB),,,,,,,,,,,,,,,,,Department for Transport,"### DfT FOI Enquiry Service

Department for Transport  
Information Rights & Records Unit  
D/01, Ashdown House  
Sedlescombe Road North  
St Leonards on Sea, TN37 7GA

Phone: 020 7944 8300

[Contact us](mailto:foi-advice-team-dft@dft.gsi.gov.uk)
",96
http://www.dft.gov.uk/foi/dft-e0009129,FOI,Ecological impact of Bristol and Portbury rail link,Response to ecological impact of Bristol and Portbury rail link question.,"## Download documents

### Download Environmental Information Regulations (EIR) response letter

  * [Download EIR response letter regarding ecological impact of Bristol and Portbury rail link (PDF - 34 KB)](http://assets.dft.gov.uk/foi/dft-e0009129/dft-e0009129.pdf)

### Download additional information

  * [Royal Portbury Dock Rail Link (PDF - 6467 KB)](http://assets.dft.gov.uk/foi/dft-e0009129/dft-e0009129-portbury-noise-report.pdf)
  * [Section 139 Grant application (PDF - 258 KB)](http://assets.dft.gov.uk/foi/dft-e0009129/dft-e0009129-projectassessment.pdf)

## Help downloading or accessing files

  * See [help with downloads](/site/help/downloads)
  * Email the [DfT FOI Enquiry Service](mailto:foi-advice-team-dft@dft.gsi.gov.uk) for an alternative format
", 12 September 2012, e0009129,http://assets.dft.gov.uk/foi/dft-e0009129/dft-e0009129.pdf,Download EIR response letter regarding ecological impact of Bristol and Portbury rail link (PDF – 34 KB),http://assets.dft.gov.uk/foi/dft-e0009129/dft-e0009129-portbury-noise-report.pdf,Royal Portbury Dock Rail Link (PDF – 6467 KB),http://assets.dft.gov.uk/foi/dft-e0009129/dft-e0009129-projectassessment.pdf,Section 139 Grant application (PDF – 258 KB),,,,,,,,,,,,,Department for Transport,"### DfT FOI Enquiry Service

Department for Transport  
Information Rights & Records Unit  
D/01, Ashdown House  
Sedlescombe Road North  
St Leonards on Sea, TN37 7GA

Phone: 020 7944 8300

[Contact us](mailto:foi-advice-team-dft@dft.gsi.gov.uk)
",97
http://www.dft.gov.uk/foi/dft-f0009158,FOI,Facilities management contracts,Freedom of information response letter regarding facilities management contracts with Amey.,"## Download documents

  * [Freedom of information response letter regarding facilities management contracts with Amey (PDF - 17 KB)](http://assets.dft.gov.uk/foi/dft-f0009158/dft-f0009158.pdf)

## Help downloading or accessing files

  * See [help with downloads](/site/help/downloads)
  * Email the [DfT FOI Enquiry Service](mailto:foi-advice-team-dft@dft.gsi.gov.uk) for an alternative format
", 11 September 2012, f0009158,http://assets.dft.gov.uk/foi/dft-f0009158/dft-f0009158.pdf,Freedom of information response letter regarding facilities management contracts with Amey (PDF – 17 KB),,,,,,,,,,,,,,,,,Department for Transport,"### DfT FOI Enquiry Service

Department for Transport  
Information Rights & Records Unit  
D/01, Ashdown House  
Sedlescombe Road North  
St Leonards on Sea, TN37 7GA

Phone: 020 7944 8300

[Contact us](mailto:foi-advice-team-dft@dft.gsi.gov.uk)
",98
http://www.dft.gov.uk/foi/dft-f0009215,FOI,Compensation figures paid to passengers by Train Operating Companies,Freedom of information response regarding compensation paid by the Train Operating Companies operating the delay/repay scheme.,"## Download documents

### Download FOI response letter 

  * [Freedom of information response regarding compensation paid by the Train Operating Companies operating the delay/repay scheme (PDF - 40 KB)](http://assets.dft.gov.uk/foi/dft-f0009215/dft-f0009215.pdf)

### Download additional information 

  * [Compensation paid by Train Operating Companies: Passenger's charter and delay/repay (PDF - 7 KB)](http://assets.dft.gov.uk/foi/dft-f0009215/compensation-table.pdf)

## Help downloading or accessing files

  * See [help with downloads](/site/help/downloads)
  * Email the [DfT FOI Enquiry Service](mailto:foi-advice-team-dft@dft.gsi.gov.uk) for an alternative format
", 25 September 2012, f0009215,http://assets.dft.gov.uk/foi/dft-f0009215/dft-f0009215.pdf,Freedom of information response regarding compensation paid by the Train Operating Companies operating the delay/repay scheme (PDF – 40 KB),http://assets.dft.gov.uk/foi/dft-f0009215/compensation-table.pdf,Compensation paid by Train Operating Companies: Passenger’s charter and delay/repay (PDF – 7 KB),,,,,,,,,,,,,,,Department for Transport,"### DfT FOI Enquiry Service

Department for Transport  
Information Rights & Records Unit  
D/01, Ashdown House  
Sedlescombe Road North  
St Leonards on Sea, TN37 7GA

Phone: 020 7944 8300

[Contact us](mailto:foi-advice-team-dft@dft.gsi.gov.uk)
",99
http://www.dft.gov.uk/foi/dft-f0009250,FOI,Meetings between the Secretary of State and Bombardier,Response concerning meetings between the Secretary of State and Bombardier and material relating to High Speed 2.,"## Download documents

### Download the Freedom of Information letter

  * [Freedom of Information response letter concerning meetings between the Secretary of State and Bombardier and material relating to High Speed 2 (PDF - 33KB)](http://assets.dft.gov.uk/foi/dft-f0009250/dft-f0009250.pdf)

### Download additional information

  * [Letters between the Secretary of State and Bombardier (PDF - 1400KB)](http://assets.dft.gov.uk/foi/dft-f0009250/bombardier-letters.pdf)

## Help downloading or accessing files

  * See [help with downloads](/site/help/downloads)
  * Email the [DfT FOI Enquiry Service](mailto:foi-advice-team-dft@dft.gsi.gov.uk) for an alternative format
", 31 October 2012, f0009250,http://assets.dft.gov.uk/foi/dft-f0009250/dft-f0009250.pdf,Freedom of Information response letter concerning meetings between the Secretary of State and Bombardier and material relating to High Speed 2 (PDF – 33KB),http://assets.dft.gov.uk/foi/dft-f0009250/bombardier-letters.pdf,Letters between the Secretary of State and Bombardier (PDF – 1400KB),,,,,,,,,,,,,,,Department for Transport,"### DfT FOI Enquiry Service

Department for Transport  
Information Rights & Records Unit  
D/01, Ashdown House  
Sedlescombe Road North  
St Leonards on Sea, TN37 7GA

Phone: 020 7944 8300

[Contact us](mailto:foi-advice-team-dft@dft.gsi.gov.uk)
",100
http://www.dft.gov.uk/foi/dft-f0009260,FOI,Items lost or stolen from the department in 2011,Freedom of information response letter regarding items lost or stolen from the department in 2011.,"## Download documents

  * [Freedom of information response letter regarding items lost or stolen from the department in 2011 (PDF - 22 KB)](http://assets.dft.gov.uk/foi/dft-f0009260/dft-f0009260.pdf)

## Help downloading or accessing files

  * See [help with downloads](/site/help/downloads)
  * Email the [DfT FOI Enquiry Service](mailto:foi-advice-team-dft@dft.gsi.gov.uk) for an alternative format
", 15 October 2012, f0009260,http://assets.dft.gov.uk/foi/dft-f0009260/dft-f0009260.pdf,Freedom of information response letter regarding items lost or stolen from the department in 2011 (PDF – 22 KB),,,,,,,,,,,,,,,,,Department for Transport,"### DfT FOI Enquiry Service

Department for Transport  
Information Rights & Records Unit  
D/01, Ashdown House  
Sedlescombe Road North  
St Leonards on Sea, TN37 7GA

Phone: 020 7944 8300

[Contact us](mailto:foi-advice-team-dft@dft.gsi.gov.uk)
",101
http://www.dft.gov.uk/foi/dft-p0009385,FOI,Official photographs of ministers,Freedom of information response letter regarding official photographs of ministers.,"## Download documents

### Download Freedom of information response letter

  * [Freedom of information response letter regarding official photographs of ministers (PDF - KB)](http://assets.dft.gov.uk/foi/dft-p0009385/dft-p0009385.pdf)

### Download additional information

  * [Image featuring Stephen Hammond MP](http://assets.dft.gov.uk/foi/dft-p0009385/stephen-hammond-mp.jpg)
  * [Image featuring the Rt Hon Patrick McLoughlin MP](http://assets.dft.gov.uk/foi/dft-p0009385/patrick-mcloughlin-mp.jpg)
  * [Image featuring Norman Baker MP](http://assets.dft.gov.uk/foi/dft-p0009385/norman-baker-mp.jpg)
  * [Image featuring the Rt Hon Simon Burns MP](http://assets.dft.gov.uk/foi/dft-p0009385/simon-burns-mp.jpg)
  * [Image featuring the Rt Hon Justine Greening MP](http://assets.dft.gov.uk/foi/dft-p0009385/justine-greening-mp.jpg)
  * [Image featuring the Rt Hon Theresa Villiers MP](http://assets.dft.gov.uk/foi/dft-p0009385/theresa-villiers-mp.jpg)
  * [Image featuring Mike Penning MP](http://assets.dft.gov.uk/foi/dft-p0009385/mike-penning-mp.jpg)
  * [Image featuring the Rt Hon Philip Hammond MP](http://assets.dft.gov.uk/foi/dft-p0009385/philip-hammond-mp.jpg)

## Help downloading or accessing files

  * See [help with downloads](/site/help/downloads)
  * Email the [DfT FOI Enquiry Service](mailto:foi-advice-team-dft@dft.gsi.gov.uk) for an alternative format
", 29 October 2012, p0009385,http://assets.dft.gov.uk/foi/dft-p0009385/dft-p0009385.pdf,Freedom of information response letter regarding official photographs of ministers (PDF – KB),http://assets.dft.gov.uk/foi/dft-p0009385/stephen-hammond-mp.jpg,Image featuring Stephen Hammond MP,http://assets.dft.gov.uk/foi/dft-p0009385/patrick-mcloughlin-mp.jpg,Image featuring the Rt Hon Patrick McLoughlin MP,http://assets.dft.gov.uk/foi/dft-p0009385/norman-baker-mp.jpg,Image featuring Norman Baker MP,http://assets.dft.gov.uk/foi/dft-p0009385/simon-burns-mp.jpg,Image featuring the Rt Hon Simon Burns MP,http://assets.dft.gov.uk/foi/dft-p0009385/justine-greening-mp.jpg,Image featuring the Rt Hon Justine Greening MP,http://assets.dft.gov.uk/foi/dft-p0009385/theresa-villiers-mp.jpg,Image featuring the Rt Hon Theresa Villiers MP,http://assets.dft.gov.uk/foi/dft-p0009385/mike-penning-mp.jpg,Image featuring Mike Penning MP,http://assets.dft.gov.uk/foi/dft-p0009385/philip-hammond-mp.jpg,Image featuring the Rt Hon Philip Hammond MP,Department for Transport,"### DfT FOI Enquiry Service

Department for Transport  
Information Rights & Records Unit  
D/01, Ashdown House  
Sedlescombe Road North  
St Leonards on Sea, TN37 7GA

Phone: 020 7944 8300

[Contact us](mailto:foi-advice-team-dft@dft.gsi.gov.uk)
",102
http://www.dft.gov.uk/foi/dsa-ia0017512,FOI,Tests not conducted due to suspected drugs or alcohol use,The number of times a test was not conducted as the candidate was suspected of being under the influence of drugs or alcohol in 2010 and 2011. ,"## Summary

The number of times a test was not conducted as the candidate was suspected of being under the influence of drugs or alcohol in 2010 and 2011. The number of car, bike and HGV where the candidate has failed due to public safety. Broken down by the gender and age of each candidate and test centre.

## Download FOI response

  * [ The number of times a test was not conducted as the candidate was suspected of being under the influence of drugs or alcohol in 2010 and 2011. The number of car, bike and HGV where the candidate has failed due to public safety. (PDF, 13K)](http://assets.dft.gov.uk/foi/dsa-ia0017512/dsa-ia0017512a.pdf)
  * [ Tables showing the number of tests that were not conducted due to the candidate being suspected of being under the influence and tests failed due to public safety. (XLS, 784K)](http://assets.dft.gov.uk/foi/dsa-ia0017512/dsa-ia0017512b.xls)
  * [ Freedom of Information Act - section 40 (PDF, 20K)](http://assets.dft.gov.uk/foi/dsa-ia0017512/dsa-ia0017512c.pdf)

## Help downloading or accessing files

  * See [help with downloads](/site/help/downloads)
  * Email the [DSA FOI Manager](mailto:foi@dsa.gsi.gov.uk) for an alternative format
", 15 October 2012, ia0017512,http://assets.dft.gov.uk/foi/dsa-ia0017512/dsa-ia0017512a.pdf," The number of times a test was not conducted as the candidate was suspected of being under the influence of drugs or alcohol in 2010 and 2011. The number of car, bike and HGV where the candidate has failed due to public safety. (PDF, 13K)",http://assets.dft.gov.uk/foi/dsa-ia0017512/dsa-ia0017512b.xls," Tables showing the number of tests that were not conducted due to the candidate being suspected of being under the influence and tests failed due to public safety. (XLS, 784K)",http://assets.dft.gov.uk/foi/dsa-ia0017512/dsa-ia0017512c.pdf," Freedom of Information Act – section 40 (PDF, 20K)",,,,,,,,,,,,,Driving Standards Agency,"### DSA FOI team

Driving Standards Agency  
The Axis Building  
112 Upper Parliament Street  
Nottingham, NG1 6LP

[Contact us](mailto:foi@dsa.gsi.gov.uk)
",103
