old_url,i,body,associated_organisations,title,delivered_on_date,summary,delivered_by,date,speech_type,associated_policies
http://www.dft.gov.uk/news/statements/baker-20110119,1,"**Parliamentary Under-Secretary of State for Transport (Norman Baker):** Mr. Speaker, with your permission I should like to make a statement to accompany the publication today of the Coalition Government's White Paper on Local Transport, and the simultaneous publication of bidding guidance to accompany our new 'Local Sustainable Transport Fund'.  Both documents are available to colleagues in the vote office and have been placed in the library of the house.

This Government's vision is for a transport system that helps create growth in the economy, and tackles climate change by cutting our carbon emissions.

The launch of this White Paper, and the associated Local Sustainable Transport Fund, represents a significant step towards meeting these two key government objectives.

In both the Budget and the Spending Review, the Chancellor pledged to make the tough choices that will allow us to maintain investment in new and existing infrastructure to support a growing economy, while eliminating the structural deficit over the lifetime of the Parliament.

The Spending Review reflected transport's vital role in this: I am pleased that we were able to secure significant investment to allow us to go ahead with important transport initiatives. The investment we have committed to in rail, low carbon vehicles and public and sustainable transport reflects the determination to secure growth while cutting carbon.

In the medium term, our transport decarbonisation strategy centres around the progressive electrification of the passenger car fleet, supported by policies to increase generation capacity and decarbonise the grid. By also prioritising spending on key rail projects such as high speed rail and rail electrification, we will be providing travellers with attractive new options instead of the plane and car.

In the immediate term, addressing shorter, local trips offers huge potential in helping to grow the economy and tackle climate change. Shorter trips are important - two-thirds of all journeys are under five miles. Walking, cycling and public transport are all real, greener alternatives for such trips.

What's more, we know that people who travel to the shops on foot, by bicycle or by public transport can spend more per head than those who travel by car - and research shows that improvements to the public realm can increase turnover in the high street by 5 to 15%. Increased sustainable travel also helps tackle congestion, which is a drag on business causing excess delays in urban areas at a cost of around £11 billion per annum.

And let us not forget the further benefits that follow a shift to more sustainable transport - benefits to the air we breathe, to our levels of fitness, and the money in our pockets as well.  Investment in sustainable transport helps make our towns and cities healthier and more attractive places to live, work and shop.

This White Paper sets out how we can encourage the uptake of more sustainable modes at local level, and the unprecedented £560 million we have allocated in our new 'Local Sustainable Transport Fund' will support this. Our commitment to helping local authorities with this vital agenda is reaffirmed by the amount of money we are making available.

The Local Sustainable Transport Fund forms part of a wider picture of more streamlined and simplified funding to local authorities. This will give local authorities more power and flexibility to meet local transport needs.

Across Government we have demonstrated our commitment to ending the top-down decision making, and the tendency in Whitehall to develop one-size-fits-all solutions which ignore the specific needs and behaviour patterns of local communities.

The Government has already taken significant steps to hand back power to local communities. These include replacing Regional Development Agencies with Local Enterprise Partnerships, giving communities a much greater say over planning decisions and ending the top-down imposition of housing targets.

Today's White Paper is about extending the decentralisation of power to local transport, putting into context what this means for local authorities.

We are particularly keen to receive bids for the Local Sustainable Transport Fund from local authorities who are in partnership with the voluntary, community and social enterprise sector, and have the support of local businesses. We believe that by encouraging bids in this way, we will be able to capture innovative solutions to local transport needs in all areas, rural and urban.

An example I often quote is the Cuckmere Community Bus in my own constituency. Individual residents in the Cuckmere Valley have come together to run regular and frequent bus services, taking people in rural areas to their nearest towns.  These services are provided entirely by volunteers.

'Wheels to Work' schemes provide transport to people who are unable to access training, employment or education, due to a lack of suitable public or private transport.  Schemes can, therefore, particularly benefit people living in isolated rural communities and can play an important part in helping people to come off benefits and regain their independence.

These are real examples, happening right now, and we want to enable similar stories to unfold in other areas across the country.  
In addition, we also recognise that there are some initiatives that benefit from a single national approach.

These include:

  * providing £11m funding for Bikeability cycle training next year, to allow 275,000 ten to eleven-year-olds to benefit from 'on-road' cycle training.  And a commitment to support Bikeability for the duration of this parliament, which will allow as many children as possible to undertake high quality cycle training;
  * improving end-to-end journeys by encouraging transport operators, and those involved in promoting cycling and car clubs or sharing, to work together, to provide better information and integrate tickets and timetables;
  * delivering, with operators and public sector bodies, the infrastructure to enable most local public transport journeys to be undertaken using smart ticketing by December 2014. We will work with the transport industry to support the development of e-purses and other technology related to smart ticketing and support the infrastructure to make this happen;
  * reviewing the way in which transport investment decisions are made to ensure that the carbon implications are fully recognised;
  * transferring responsibility for local roads classification to local authorities, giving them the flexibility to determine the status of their roads;
  * setting out in a strategic framework for road safety, by spring 2011, how to ensure that Britain's roads are among the world's safest;
  * modernising traffic signs policy so as to provide more flexibility and reduced costs and bureaucracy for local authorities to enable them to develop innovative traffic management solutions.

Mr Speaker, we want to build a transport system that is an engine for economic growth but one that is also greener. 

One that creates growth and cuts carbon.

By improving the links that move goods and people around, encouraging people to travel sustainably, and targeting investment in new projects that promote green growth, we can help to build the balanced, dynamic low carbon economy that is essential for our future prosperity.

This White Paper, with the associated Local Sustainable Transport Fund, demonstrates our commitment to taking this agenda forward.

I commend it to the House.

 
",Department for Transport,"Creating Growth, Cutting Carbon – making sustainable local transport happen",19 January 2011,"Oral statement by Norman Baker MP, Parliamentary Under-Secretary of State for Transport.",Norman Baker MP,2011-01-19,Oral statement,
http://www.dft.gov.uk/news/statements/baker-20110214,2,"**The Parliamentary Under Secretary of State for Transport (Norman Baker):** I am today publishing the Government's plans for [reforming the Blue Badge (Disabled Parking) Scheme](/topics/access/blue-badge/reform-of-the-blue-badge-scheme/). The measures that I am announcing will help those who rely on Blue Badges for mobility reasons. The measures will tackle rising levels of fraud and abuse, and will ensure both that badges are issued more fairly and that the scheme remains sustainable in the long term for those who rely on it most. These reforms will be delivered as soon as possible, and many within a year.

The Scheme helps over 2.5 million disabled people in England retain their independence, by enabling them to park close to jobs, services and facilities. However very few changes have been made to the scheme since it was established in the 1970s. Having listened to the views of badge holders, the general public, disabled people's groups and local authorities, it is evident that the scheme needs to be modernised to reduce current problems and deal with future challenges.

I want to ensure that the scheme focuses better on those whom it was intended to benefit. In particular, this means targeting those people who misuse and abuse it to the disadvantage of genuine badge holders. Secondly, this means ensuring that people have fair and equal access to the concession and the benefits it offers, regardless of where they live.

We are providing improved powers for local authorities to tackle abuse and fraud. This includes extending the grounds available to local authorities to refuse to issue and to withdraw badges and providing local authorities with a power to cancel badges that have been lost, stolen, have expired, or have been withdrawn for misuse. We are also providing local authority-authorised officers with an on-the-spot power to recover badges that have been cancelled or misused. We propose to amend existing legislation to clarify wrongful use of a badge and the powers to inspect badges.

To prevent abuse from happening in the first place and to deal with rising levels of fraud and abuse, we are implementing a new badge design that is harder to copy, forge and alter. Arrangements for printing, personalising and distributing the badge are also being changed and will enable more effective monitoring of cancelled, lost and stolen badges.

We are establishing, with local authorities, a common service delivery project which could deliver operational efficiency savings of up to £20m per year, help to reduce and prevent abuse and improve customer services. The project will also make available an on-line application facility which should result in faster, more automatic renewals for people whose circumstances do not change between renewal periods.

In order to ensure that badges are issued more fairly and consistently across the country, we are amending legislation to require wider use of independent mobility assessments to determine eligibility, including where previously that assessment was carried out by a GP. To support this, we are providing local authorities with control of the current National Health Service spend on Blue Badge assessments. In addition, new good practice guidance will be issued to local authorities to help them make improvements in scheme administration and eligibility assessment.

We are extending eligibility for a badge to some other people, to address current anomalies and issues of fairness. Eligibility is being extended to more disabled children between the ages of 2 and 3 with specific medical conditions and we are providing continuous automatic entitlement to a badge to severely disabled service personnel and veterans. We also intend to remove residency requirements for disabled service personnel and their families who are posted overseas on UK bases. This will enable them to apply for a badge.

To help cover costs more appropriately and to enable the delivery of a new badge design and the common service improvement project, we are raising the maximum fee for a badge that local authorities can charge from the £2 that it has been for nearly 30 years, to £10. The average benefit for badge holders from having a badge (and not having to pay parking charges) is estimated to be £300 over the three years for which most badges are valid. In return, badge holders will benefit from less abuse, improved accessibility and better customer services.

I am also publishing today, a [summary of responses to a public consultation](http://www.dft.gov.uk/consultations/closed/2010-20/) on the scheme.

 
",Department for Transport,Blue Badge Reform programme,14 February 2011,"Written statement by Norman Baker MP, Parliamentary Under-Secretary of State for Transport.",Norman Baker MP,2011-02-14,Written statement,
http://www.dft.gov.uk/news/statements/baker-20110216,3,"**Parliamentary Under Secretary of State for Transport (Norman Baker)**: To complement the Local Transport White Paper 'Creating Growth, Cutting Carbon', my Department has been working on a basic carbon tool for Local Authorities to assist them in demonstrating the carbon benefits of transport interventions in their areas. Today, I am pleased to announce the publication of the draft basic carbon tool for Local Authorities on my Department's website1. 

The tool fully supports Local Authorities in making their own decisions about the carbon benefits of small scale interventions and enables them to input their own assumptions and data from best estimates of take-up and effects for their areas. The tool also brings together in one place central research on local transport and carbon, improves access to national transport data which can impact on emissions and simplifies carbon appraisal guidance. 

The tool can assist authorities in demonstrating the carbon benefits of bids to the Local Sustainable Transport Fund, but it is for Local Authorities to decide what tools and evidence best meet the criteria and objectives of the Fund in the context of their overall bids. My Department plans to publish the final tool in the summer. My officials have sent a letter to all Local Authority Chief Executives inviting views on the tool. A copy of this letter has been placed in the House library.

1The web address is [http://www.dft.gov.uk/pgr/regional/policy/carbon-tool/](http://www.dft.gov.uk/publications/local-authority-basic-carbon-tool/#).

 
",Department for Transport,Publication of a basic carbon tool for Local Authorities,16 February 2011,"Written statement by Norman Baker MP, Parliamentary Under-Secretary of State for Transport.",Norman Baker MP,2011-02-16,Written statement,"Local authorities, Sustainable travel"
http://www.dft.gov.uk/news/statements/baker-20110309,4,"**The Parliamentary Under Secretary of State for Transport (Norman Baker):** Today, I am announcing £10-million of new funding to be distributed to rural local transport authorities to kick-start the development of community transport services in their area.

In addition, we have formed a partnership with the Community Transport Association to provide each of the 76 rural local authorities in England with £2,600 worth of consultancy advice on how to establish, manage and make sustainable community transport operations within their area. There is the option for local authorities to supplement this with their own funds to receive further services.

This additional funding complements our recently announced Local Sustainable Transport Fund, which allows local authorities to bid for a share of £560m over 4 years, aimed at encouraging sustainable transport solutions, including Community Transport, that will create economic growth and cut carbon.

Public transport remains a key element in the sustainability and independence of rural communities: offering young people access to education and employment opportunities; linking customers to shops and services; and providing a lifeline to those without access to a car.

Where commercial bus services are not viable, Community Transport can play a valuable role in preventing isolation. I therefore strongly encourage local authorities to work in partnership with operators and local communities to examine how more flexible services might be provided.

Services such as dial-a-ride can, in some areas, be more efficient, effective and sustainable in the long term. I know that there are already many good examples of community groups and local authorities working together to deliver innovative solutions to rural transport needs and this is something we wish to see increased.

Today's package of support for Community Transport represents an important opportunity to invest in the future to provide more sustainable transport for local communities.

 
",Department for Transport,Supporting community transport,9 March 2011,"Written statement by Norman Baker MP, Parliamentary Under-Secretary of State for Transport.",Norman Baker MP,2011-03-09,Written statement,Public transport
http://www.dft.gov.uk/news/statements/baker-20110310,5,"**The Parliamentary Under Secretary of State for Transport (Norman Baker)**: Biofuels have an important role to play in efforts to tackle climate change, particularly where there is no viable alternative fuel on the horizon, as is the case with aviation and HGVs. In addition, they also have a role to play in promoting the security of energy supply. But we firmly believe that the potential carbon benefits of biofuels can only be realised if they are produced in a sustainable way.

My Department recognises that there are legitimate concerns about the sustainability of some biofuels. Biofuels are a continually developing technology and there is still scientific uncertainty about the sustainability of biofuels and their wider socio-economic impacts.

Much work is underway to better understand indirect sustainability effects. It is crucial that we establish strong sustainability criteria and a robust lifecycle carbon analysis to ensure first that biofuels deliver real greenhouse gas reductions and second, do not cause unacceptable environmental side effects in the process.

In particular, my Department takes the issue of indirect land use change seriously. We have recently published research on the scale of indirect land use change impacts and we are continuing to lead work on how to tackle these. The European Commission is in the process of assessing a range of options to address the issue of indirect land use change and I have written to the EU Energy, Environment and Climate Commissioners to impress on them the need for an adequate and robust solution.

Given the uncertainties, I believe it is right that this Government has taken additional time to review the subject carefully. There have been shifts in biofuels policy in the past so we need to ensure that policy decisions going forward are robust and stable, which will also give confidence to business to invest.

In addition to concerns regarding the sustainability of biofuels, we must also consider where biofuels would be best deployed across the transport sector. It may be best to focus use of what may well be limited supplies of sustainably sourced biofuel in transport modes where no other low carbon energy source is likely to be viable.

In April 2010, my Department commissioned work to determine how best biofuels should be deployed across all transport modes. In addition, the Government tasked the Committee on Climate Change to review the level of ambition for renewable energy.  These pieces of work are due to conclude over the coming months. The evidence we gather about the best use of biofuels across modes will inform our view of likely levels of uptake.

Given that biofuels policy has wide implications, I will continue to engage with Ministerial colleagues across Whitehall to ensure that government policy on biofuels is aligned going forward.

Today, I am publishing separate consultations on proposals to implement the European Renewable Energy and Fuel Quality Directives. Both of these Directives contain requirements related to the use of biofuels.

The Renewable Energy Directive requires the UK, by 2020, to source 15% of its overall energy, and 10% of energy used in transport, from renewable sources. The related Fuel Quality Directive requires fuel and energy suppliers (principally those providing fuel and energy for land-based transport) to reduce the lifecycle greenhouse gas emissions of the fuel/energy that they supply by 6 % per unit of energy by 2020.

Given the need to consider our developing evidence base, I do not propose to make any changes to the current biofuel supply trajectory that is set out in the Renewable Transport Fuel Obligations Order 2007. However, there will be a legal obligation on the Secretary of State to keep this issue under review and to consider what additional measures will be required to ensure that the UK delivers the requirements of the EU Renewable Energy and Fuel Quality Directives in the period 2014 to 2020. This approach should enable us to establish a stable biofuel policy that will allow industry to robustly plan for the period 2014 to 2020.

The two consultation documents set out proposals to implement the transport requirements of the Renewable Energy Directive through amendment of the UK's Renewable Transport Fuel Obligation (RTFO) and proposals to implement the Fuel Quality Directive through the amended RTFO and the proposed Motor Fuel Greenhouse Gas Saving Regulations.

Our implementation proposals involve making new provisions for biofuels to meet the EU biofuel sustainability criteria and introducing double certification for biofuels produced from wastes (such as used cooking oil) and other feedstocks that do not compete with food production or contribute to indirect land use change. In addition, we propose to put in place a 6% lifecycle greenhouse gas reduction obligation for 2020 and introduce requirements for the relevant fuel/energy suppliers to report on the lifecycle greenhouse gas performance of their fuels in the meantime.

The consultation period will run from today until 2 June and we aim to introduce and bring into force the relevant legislation completing the implementation of the transport elements of both Directives by the end of this year.

 
",Department for Transport,Consultation on Renewable Energy and Fuel Quality directives,10 March 2011,"Written statement by Norman Baker MP, Parliamentary Under-Secretary of State for Transport.",Norman Baker MP,2011-03-10,Written statement,Sustainable travel
http://www.dft.gov.uk/news/statements/baker-20110318,6,"**The Parliamentary Under Secretary of State for Transport (Norman Baker):** I am today announcing the final tranche of payments from the Urban Congestion Performance Fund that will see the ten largest urban areas in England receive a further £3.75 million to address the causes of urban congestion.

These payments are the final payments made through the Fund, which is linked to the local congestion targets set by the 10 largest urban areas in England in their local transport plans.

The £3.75 million payment will be shared between the participating areas as below:

Urban Area Sum to be paid via Tranche 4

London
£1,125,000

Greater Manchester
£470,364

West Midlands
£438,727

West Yorkshire
£382,600

South Yorkshire
£300,752

Tyne & Wear
£252,049

Merseyside
£320,892

Nottingham
£155,890

West of England (Bristol)
£154,869

Leicester
£148,857

Total
£3,750,000

 
",Department for Transport,Urban Congestion Performance Fund – final tranche of payments,18 March 2011,"Written statement by Norman Baker MP, Parliamentary Under-Secretary of State for Transport.",Norman Baker MP,2011-03-18,Written statement,"Roads, Congestion"
http://www.dft.gov.uk/news/statements/baker-20110321,7,"**The Parliamentary Under Secretary of State for Transport (Norman Baker):** Today, I am announcing £836,000 of additional funding in this financial year to implement a number of small sustainable projects in the Cycle Towns and, separately, for three Train Operating Companies to enhance their bike and rail schemes. This exceptional decision has been made possible due to prudent management of Departmental expenditure, including additional efficiencies made this year.

The chosen Cycle Town projects Blackpool, Bristol, Cambridge, Colchester, Darlington, Derby, Exeter, Leighton Linslade, South Glos, Southend, Shrewsbury, Woking and York have been assessed as capable of being delivered within the current financial year whilst offering value for money. I believe this additional funding will assist in meeting the overall aims of the project to get more people cycling safely.  All the recommended projects fit well with the strategic objectives of the towns concerned and will increase the effectiveness of their existing programmes in generating additional cyclists.

The three Train Operating Companies, Merseyrail, South West Trains and Northern Rail, have worked hard, in partnership with local authorities and other organisations, including Sustrans and Network Rail, to deliver high-quality infrastructure improvements accompanied by promotional activities. This is with the aim of encouraging more cycling to railway stations and to deliver improved integration of bike and rail journeys. This money will enable further enhancements to these schemes.

Today's announcement complements, and is in addition to, our recently launched Local Sustainable Transport Fund which allows local authorities to bid for a share of £560m over four years, aimed at encouraging sustainable transport solutions, including Cycling initiatives, that will create economic growth and cut carbon.

This additional funding demonstrates the Government's continued commitment to cycling, recognising its potential contribution to reducing carbon emissions, improving health and creating economic growth.

 
",Department for Transport,Regional cycling projects,21 March 2011,"Written statement by Norman Baker MP, Parliamentary Under-Secretary of State for Transport.",Norman Baker MP,2011-03-21,Written statement,"Roads, Road management, Road safety, Sustainable travel"
http://www.dft.gov.uk/news/statements/baker-20110523,8,"**Parliamentary Under Secretary of State for Transport (Norman Baker):** I am today publishing our [response](http://www.dft.gov.uk/consultations/closed/2010-33/) to the comments received in the consultation on proposals to amend the criteria defining strategic national corridors (SNCs) and confirming the action we will take.

The strategic national corridors were established in 2009 to define the network over which the largest proportion of strategic traffic - that is traffic travelling between the ten largest urban areas, ten busiest ports and seven busiest airports in England - moves around the country. The original definition also provided for connectivity between the four nations of the United Kingdom, but there was no specific provision for connecting capital cities.

We concluded that the routes linking Edinburgh, Cardiff and Belfast to the nearest urban strategic destination should be recognised for the strategic connectivity that they provide, and consulted accordingly. After taking account of the consultation responses I can now confirm that we are going ahead with this change.

Specifically, we identified two routes as having national significance: namely the A1 between its junction with the A19 north of Newcastle and the Scottish Border, providing a defined link to Edinburgh; and a route between Bootle and the Twelve Quays Ferry Terminal in Birkenhead, providing connectivity with Belfast. Again, after taking account of the consultation responses, I can confirm that these routes will henceforth become roads of national significance.

A number of other suggestions were made for changes to the SNCs, including specific proposals for increases in coverage. My Department will reconsider the scope and role of the SNCs once the LEPs are well established and their role in transport decision-making is clear.

The consultation documents, including the consultation response, can be found on my Department's website. An electronic copy has been lodged with the House library.

 
",Department for Transport,Consultation on revising the Strategic National Transport Corridors,23 May 2011,"Written statement by Norman Baker MP, Parliamentary Under-Secretary of State for Transport.",Norman Baker MP,2011-05-23,Written statement,"Aviation, Rail, Roads, Shipping, Road management"
http://www.dft.gov.uk/news/statements/baker-20110607,9,"**The Parliamentary Under Secretary of State for Transport (Norman Baker):** The cross-Government review of Non-Departmental Public Bodies, responding to this House in October 2010, decided that the public bodies landscape needed radical reform to increase accountability, cut out duplication of activity, increase transparency and discontinue activities that were no longer needed. Amongst the recommendations was that DPTAC be abolished. 

The Public Bodies Bill is currently before Parliament. The Bill as drafted, would allow the Government to make an Order abolishing DPTAC. If the Bill is passed with this provision in it, I am minded to make such an Order. But before coming to a definite decision to do so, I intend to consult on the Order and will make no final decision until I have taken into account the responses to that consultation. 

In advance of this formal consultation I am inviting views from all those with an interest on what successor arrangements should be put in place if DPTAC is abolished. I am seeking to ensure that any successor arrangement will continue to provide my Department with consensual, pan-disability advice in a flexible way, and that any arrangement represents value for money. 

I propose to invite comments on the options listed below: 

  * Option 1: Rely on existing expertise in the Department for Transport policy divisions and agencies. Where ad-hoc specific advice is needed, it could be sought by individual policy divisions from third party stakeholder groups, the transport industry, and experts. This would have minimal cost (although commissioned, consultancy advice could be expensive) but perhaps risks disability issues being overlooked. 
  * Option 2: Establish a stakeholder forum, which could be convened and provide advice as and when issues arose. Again this would have minimal cost, but could again result in an increased consultancy bill. It might also be difficult to decide who to appoint to the forum. There are over 50 disability groups, and their interests sometimes conflict (e.g. the interests of the visually impaired, and those using mobility scooters). Achieving consensus could therefore be difficult. 
  * Option 3: Rely on a cross-government body to provide transport advice - for example the existing (non statutory) Equality 2025, run by the Department of Work and Pensions. This option should ensure that disability issues do not get overlooked. Equality 2025 is likely to be able to offer general advice - for example on transport access to the Olympics by disabled people - but would not be in a position to offer more specialist advice, for example the type of mobility scooter models suitable to be carried on public transport. 
  * Option 4: Establish a non-statutory specialist body which would be flexible and accountable to Ministers. This may cost more than the options above, but should be less expensive than the current arrangements. However, a smaller body because of its size, may not cover all disability areas, and therefore could reduce the opportunities to provide pan-disability advice. 
  * Option 5: A wide ranging panel of experts from which members could be drawn, on an ad hoc basis, when specific advice is needed. A once a year meeting of all specified stakeholders could be held so that they all have the opportunity of voicing wider concerns. 

My initial thinking is that option 5 would be the most appropriate path to take, but I would welcome views to inform my decision making in this area. 

  * [Letter from Parliamentary Under-Secretary of State for Transport seeking views and evidence with regard to potential DPTAC successor arrangements](/consultations/dft-20110607i/)
  * [DPTAC](http://dptac.independent.gov.uk/)

 
",Department for Transport,Public Bodies Bill – Disabled Persons Transport Advisory Committee (DPTAC),7 June 2011,"Written statement by Norman Baker MP, Parliamentary Under-Secretary of State for Transport",Norman Baker MP,2011-06-07,Written statement,"Aviation, Rail, Roads, Shipping, Access for disabled people"
http://www.dft.gov.uk/news/statements/baker-2011061,10,"**Parliamentary Under-Secretary of State for Transport (Norman Baker):** I have decided to impose a penalty on Chiltern Railway of £350,000, having taken account of the outcome of a statutory consultation process.

The penalty relates to four breaches of the terms of the company's franchise agreement which occurred before management of Chiltern transferred to Arriva UK Trains in early 2011. These involved late delivery of two station improvements, and two timetable changes which were not properly authorised by the Department for Transport and which could, if unrectified, have significantly reduced the value of the franchise to the Department. These breaches were in the context of the company's poor performance in meeting a number of its detailed contractual obligations over a substantial period.

The Department imposes such penalties very rarely. When it does so, the aim is to encourage train operators to comply with their contractual obligations to the Department under franchise agreements. It should be emphasised that the penalty does not relate to Chiltern's operational performance. As a number of consultees commented, the company is noted for its high standard of performance and customer satisfaction, and for the substantial investment it is making in improving services.

The penalty has been reduced from the proposed level of £500,000 in the light of the responses to the consultation, and in particular the welcome and clear assurances from Chiltern that it has stepped up its commitment and oversight at senior management level to ensure compliance with the terms of its franchise.

The receipts from the penalty will be retained by the Department and reinvested in transport. No decision has been made at this stage as to the final use of the funds.

 
",Department for Transport,Chiltern Railway – penalty under S57A of the Railways Act 1993 (as amended),16 June 2011,"Written statement by Norman Baker MP, Parliamentary Under-Secretary of State for Transport",Norman Baker MP,2011-06-16,Written statement,"Rail, Rail passenger franchises"
