old_url,type,title,summary,body,publication_date_iso,publication_date,urn,attachment_1,attachment_1_title,attachment_2,attachment_2_title,publication_series,associated_policies,associated_organisations,geo_scope,geo_breakdown,i
http://www.dft.gov.uk/statistics/tables/acs0101,Table,ACS0101,"Download table ACS0101 – Average minimum travel time to reach the nearest key service by mode of travel, England, from 2007 (XLS – 38 KB)","## Download table

  * [ACS0101 - Average minimum travel time to reach the nearest key service by mode of travel, England, from 2007 (XLS - 38 KB)](http://assets.dft.gov.uk/statistics/tables/acs0101.xls)

## Contact us

  * [subnational.stats@dft.gsi.gov.uk](mailto:subnational.stats@dft.gsi.gov.uk)
  * Phone: 020 7944 4139

## Help downloading or accessing files

  * See [help with downloads](/site/help/downloads)
  * Email [subnational.stats@dft.gsi.gov.uk](mailto:subnational.stats@dft.gsi.gov.uk) for an alternative format
",2011-06-23,23 June 2011,ACS0101,http://assets.dft.gov.uk/statistics/tables/acs0101.xls,"ACS0101 – Average minimum travel time to reach the nearest key service by mode of travel, England, from 2007 (XLS – 38 KB)",,,Accessibility,"Cycling / Cyclists, Journey time, Mode of travel, Walking / Pedestrians",Department for Transport,England,Not applicable,1
http://www.dft.gov.uk/statistics/tables/acs0102,Table,ACS0102,"Download table ACS0102 – Average minimum travel time to reach the nearest key service by mode of travel, by rural and urban areas, England, from 2007 (XLS – 28 KB)","## Download table

  * [ACS0102 - Average minimum travel time to reach the nearest key service by mode of travel, by rural and urban areas, England, from 2007 (XLS - 28 KB)](http://assets.dft.gov.uk/statistics/tables/acs0102.xls)

## Contact us

  * [subnational.stats@dft.gsi.gov.uk](mailto:subnational.stats@dft.gsi.gov.uk)
  * Phone: 020 7944 4139

## Help downloading or accessing files

  * See [help with downloads](/site/help/downloads)
  * Email [subnational.stats@dft.gsi.gov.uk](mailto:subnational.stats@dft.gsi.gov.uk) for an alternative format
",2011-06-23,23 June 2011,ACS0102,http://assets.dft.gov.uk/statistics/tables/acs0102.xls,"ACS0102 – Average minimum travel time to reach the nearest key service by mode of travel, by rural and urban areas, England, from 2007 (XLS – 28 KB)",,,Accessibility,"Cycling / Cyclists, Journey time, Mode of travel, Walking / Pedestrians",Department for Transport,England,Rural / urban areas,2
http://www.dft.gov.uk/statistics/tables/acs0103,Table,ACS0103,"Download table ACS0103 – Average minimum travel time to reach the nearest key services by mode of travel, rural and urban areas (full breakdown), England, from 2007 (XLS – 25 KB)","## Download table

  * [ACS0103 - Average minimum travel time to reach the nearest key services by mode of travel, rural and urban areas (full breakdown), England, from 2007 (XLS - 25 KB)](http://assets.dft.gov.uk/statistics/tables/acs0103.xls)

## Contact us

  * [subnational.stats@dft.gsi.gov.uk](mailto:subnational.stats@dft.gsi.gov.uk)
  * Phone: 020 7944 4139

## Help downloading or accessing files

  * See [help with downloads](/site/help/downloads)
  * Email [subnational.stats@dft.gsi.gov.uk](mailto:subnational.stats@dft.gsi.gov.uk) for an alternative format
",2011-06-23,23 June 2011,ACS0103,http://assets.dft.gov.uk/statistics/tables/acs0103.xls,"ACS0103 – Average minimum travel time to reach the nearest key services by mode of travel, rural and urban areas (full breakdown), England, from 2007 (XLS – 25 KB)",,,Accessibility,"Cycling / Cyclists, Journey time, Mode of travel, Walking / Pedestrians",Department for Transport,England,Rural / urban areas,3
http://www.dft.gov.uk/statistics/tables/acs0104,Table,ACS0104,"Download table ACS0104 – Average minimum travel time to reach the nearest key service by public transport/walking, by region, England, from 2007 (XLS – 41 KB)","## Download table

  * [ACS0104 - Average minimum travel time to reach the nearest key service by public transport/walking, by region, England, from 2007 (XLS - 41 KB)](http://assets.dft.gov.uk/statistics/tables/acs0104.xls)

## Contact us

  * [subnational.stats@dft.gsi.gov.uk](mailto:subnational.stats@dft.gsi.gov.uk)
  * Phone: 020 7944 4139

## Help downloading or accessing files

  * See [help with downloads](/site/help/downloads)
  * Email [subnational.stats@dft.gsi.gov.uk](mailto:subnational.stats@dft.gsi.gov.uk) for an alternative format
",2011-06-23,23 June 2011,ACS0104,http://assets.dft.gov.uk/statistics/tables/acs0104.xls,"ACS0104 – Average minimum travel time to reach the nearest key service by public transport/walking, by region, England, from 2007 (XLS – 41 KB)",,,Accessibility,"Journey time, Mode of travel, Walking / Pedestrians",Department for Transport,England,Regions,4
http://www.dft.gov.uk/statistics/tables/acs0105,Table,ACS0105,"Download table ACS0105 – Average minimum travel time to reach the nearest key service by cycling, by region, England, from 2007 (XLS – 29 KB)","## Download table

  * [ACS0105 - Average minimum travel time to reach the nearest key service by cycling, by region, England, from 2007 (XLS - 29 KB)](http://assets.dft.gov.uk/statistics/tables/acs0105.xls)

## Contact us

  * [subnational.stats@dft.gsi.gov.uk](mailto:subnational.stats@dft.gsi.gov.uk)
  * Phone: 020 7944 4139

## Help downloading or accessing files

  * See [help with downloads](/site/help/downloads)
  * Email [subnational.stats@dft.gsi.gov.uk](mailto:subnational.stats@dft.gsi.gov.uk) for an alternative format
",2011-06-23,23 June 2011,ACS0105,http://assets.dft.gov.uk/statistics/tables/acs0105.xls,"ACS0105 – Average minimum travel time to reach the nearest key service by cycling, by region, England, from 2007 (XLS – 29 KB)",,,Accessibility,"Cycling / Cyclists, Journey time, Mode of travel",Department for Transport,England,Regions,5
http://www.dft.gov.uk/statistics/tables/acs0106,Table,ACS0106,"Download table ACS0106 – Average minimum travel time to reach the nearest key service by car, by region, England, from 2007 (XLS – 30 KB)","## Download table

  * [ACS0106 - Average minimum travel time to reach the nearest key service by car, by region, England, from 2007 (XLS - 30 KB)](http://assets.dft.gov.uk/statistics/tables/acs0106.xls)

## Contact us

  * [subnational.stats@dft.gsi.gov.uk](mailto:subnational.stats@dft.gsi.gov.uk)
  * Phone: 020 7944 4139

## Help downloading or accessing files

  * See [help with downloads](/site/help/downloads)
  * Email [subnational.stats@dft.gsi.gov.uk](mailto:subnational.stats@dft.gsi.gov.uk) for an alternative format
",2011-06-23,23 June 2011,ACS0106,http://assets.dft.gov.uk/statistics/tables/acs0106.xls,"ACS0106 – Average minimum travel time to reach the nearest key service by car, by region, England, from 2007 (XLS – 30 KB)",,,Accessibility,"Journey time, Mode of travel",Department for Transport,England,Regions,6
http://www.dft.gov.uk/statistics/tables/acs0107,Table,ACS0107,"Download table ACS0107 – Average minimum travel time to reach the nearest key service by mode of travel, by local authority, England, from 2007 (XLS – 105 KB)","## Download table

  * [ACS0107 - Average minimum travel time to reach the nearest key service by mode of travel, by local authority, England, from 2007 (XLS - 105 KB)](http://assets.dft.gov.uk/statistics/tables/acs0107.xls)

## Contact us

  * [subnational.stats@dft.gsi.gov.uk](mailto:subnational.stats@dft.gsi.gov.uk)
  * Phone: 020 7944 4139

## Help downloading or accessing files

  * See [help with downloads](/site/help/downloads)
  * Email [subnational.stats@dft.gsi.gov.uk](mailto:subnational.stats@dft.gsi.gov.uk) for an alternative format
",2011-06-23,23 June 2011,ACS0107,http://assets.dft.gov.uk/statistics/tables/acs0107.xls,"ACS0107 – Average minimum travel time to reach the nearest key service by mode of travel, by local authority, England, from 2007 (XLS – 105 KB)",,,Accessibility,"Cycling / Cyclists, Journey time, Mode of travel, Walking / Pedestrians",Department for Transport,England,Local authorities,7
http://www.dft.gov.uk/statistics/tables/acs0108,Table,ACS0108,"Download table ACS0108 – Households with good transport access to key services or work, England, from 2007 (XLS – 23 KB)","## Download table

  * [ACS0108 - Households with good transport access to key services or work, England, from 2007 (XLS - 23 KB)](http://assets.dft.gov.uk/statistics/tables/acs0108.xls)

## Contact us

  * [subnational.stats@dft.gsi.gov.uk](mailto:subnational.stats@dft.gsi.gov.uk)
  * Phone: 020 7944 4139

## Help downloading or accessing files

  * See [help with downloads](/site/help/downloads)
  * Email [subnational.stats@dft.gsi.gov.uk](mailto:subnational.stats@dft.gsi.gov.uk) for an alternative format
",2011-09-22,22 September 2011,ACS0108,http://assets.dft.gov.uk/statistics/tables/acs0108.xls,"ACS0108 – Households with good transport access to key services or work, England, from 2007 (XLS – 23 KB)",,,Accessibility,,Department for Transport,England,Not applicable,8
http://www.dft.gov.uk/statistics/tables/acs0109,Table,ACS0109,"Download table ACS0109 – Households with good transport access to key services or work by rural and urban areas, England, from 2007 (XLS – 23 KB)","## Download table

  * [ACS0109 - Households with good transport access to key services or work by rural and urban areas, England, from 2007 (XLS - 23 KB)](http://assets.dft.gov.uk/statistics/tables/acs0109.xls)

## Contact us

  * [subnational.stats@dft.gsi.gov.uk](mailto:subnational.stats@dft.gsi.gov.uk)
  * Phone: 020 7944 4139

## Help downloading or accessing files

  * See [help with downloads](/site/help/downloads)
  * Email [subnational.stats@dft.gsi.gov.uk](mailto:subnational.stats@dft.gsi.gov.uk) for an alternative format
",2011-09-22,22 September 2011,ACS0109,http://assets.dft.gov.uk/statistics/tables/acs0109.xls,"ACS0109 – Households with good transport access to key services or work by rural and urban areas, England, from 2007 (XLS – 23 KB)",,,Accessibility,"Accessibility, Cycling / Cyclists, Journey time, Mode of travel, Public transport, Walking / Pedestrians",Department for Transport,England,Rural / urban areas,9
http://www.dft.gov.uk/statistics/tables/acs0110,Table,ACS0110,"Download table ACS0110 – Households with good transport access to key services or work by region, England, from 2007 (XLS – 24 KB)","## Download table

  * [ACS0110 - Households with good transport access to key services or work by region, England, from 2007 (XLS - 24 KB)](http://assets.dft.gov.uk/statistics/tables/acs0110.xls)

## Contact us

  * [subnational.stats@dft.gsi.gov.uk](mailto:subnational.stats@dft.gsi.gov.uk)
  * Phone: 020 7944 4139

## Help downloading or accessing files

  * See [help with downloads](/site/help/downloads)
  * Email [subnational.stats@dft.gsi.gov.uk](mailto:subnational.stats@dft.gsi.gov.uk) for an alternative format
",2011-09-22,22 September 2011,ACS0110,http://assets.dft.gov.uk/statistics/tables/acs0110.xls,"ACS0110 – Households with good transport access to key services or work by region, England, from 2007 (XLS – 24 KB)",,,Accessibility,,Department for Transport,England,Regions,10
