Body,Associated organisations,Title,Summary,Old URL,Publication date
"The Secretary of State for Scotland Michael Moore has said Scotland will benefit from the UK Government's latest food and drink export initiative launched today (Friday 27 January).

The Minister said Defra's Food and Drink Export Action Plan would set out how government and industry would work together to open up new key markets, including a plan to encourage and support manufacturers exporting overseas and a campaign to champion UK food abroad.

Defra worked with UKTI, industry trade associations and exporting companies to produce the plans in order to boost food and drink exports to high growth markets like India and China.

The Scotch Whisky Association has welcomed the initiative, saying it would create a ""joined-up approach to market access"" and increase the focus on removing trade barriers.

Michael Moore, who recently led the largest ever Scottish trade mission to Brazil, said:

""Scotland's food and drink is known across the world for its quality and this UK Government initiative will help support our companies as they further develop their business with the rest of the world. We have been working hard to secure further footholds in emerging markets, including securing geographical indication protection for Scotch whisky. This action plan will help exporters make the most of the huge global opportunities available to Scottish companies and will, in turn, help create and secure jobs and boost our economy.""

The project steering group which developed the action plan along with the export forum included Defra, UKTI, Food and Drink Federation, Food and Drink Exporters Association, Scotch Whisky Association, and the Agriculture and Horticulture Development Board.

The Exports Action Plan includes plans to:

-       Hold regional road shows and business-to-business networking events to share best practice and encourage companies to export;

-       Make it far easier for companies to access the range of advice and support already available;

-       Make food export paperwork simpler and easier to access;

-       Better advertise the financial safeguards available to protect smaller companies from not being paid, which is a key concern;

-       Work across government and industry to get other countries to remove bans on British meat, such as beef and lamb to China.

-       Support inexperienced agri-food companies to showcase products at international tradeshows and trade missions;

-       Ministers and a new international business ambassador to provide high-level support and promote the best of British produce abroad;

-       Showcase British food and drink at the London Olympics 2012 to attract international buyers.

The Exports Action Plan is available at [http://www.defra.gov.uk/food-farm/food/food-industry/exports/](http://www.defra.gov.uk/food-farm/food/food-industry/exports/)
",Scotland Office,Moore welcomes food and drink export action plan,Secretary of State says Scotland's food and drink sector will benefit from new Defra initiative,http://www.scotlandoffice.gov.uk/scotlandoffice/16783.html,27 Jan 2012
"The Advocate General Lord Wallace of Tankerness QC gave a speech at Glasgow University outlining the UK Government's legal view on an independence referendum. You can read it here - [Scotland's Constitutional Future ](/scotlandoffice/files/Scotland's Constitutional Future - AG Speech Glasgow University (20 January 2012).doc)
",Scotland Office,Advocate General: Speech on Scotland's Constitutional Future,,http://www.scotlandoffice.gov.uk/scotlandoffice/16798.html,20 Jan 2012
"Unemployment in Scotland rose by 19,000, to 231,000 in the period September to November 2011, according to Office for National Statistics (ONS) data released today. The Scottish unemployment rate is 8.6 per cent, above the UK average of 8.4 per cent.

The labour market statistics also show employment in Scotland has decreased by 8,000 over the three months to September - November 2011. The number of those in employment in Scotland now stands at 2,467,000.

In December 2011, the number of people out of work and claiming Jobseeker's Allowance (JSA) was 140,900. This is a fall of 1,400 over the month and the fourth consecutive monthly fall.

The Secretary of State for Scotland Michael Moore said:

 ""There can be no clearer signal we need to focus on getting the economy back to health than the rise in unemployment shown by these figures. We have to get Scotland back to work and it is imperative we keep making the right decisions to support and grow our economy. Restoring confidence and stability will require work across every sector and I will continue to meet with a wide variety of businesses and organisations in the coming weeks and months.

""Tackling youth unemployment continues to be a major focus and I will chair a major national event on the issue in March to build on the seminars held throughout Scotland over the last year. We are taking major practical steps through the UK Government's Youth Contract, a £1 billion initiative backed by business and aimed directly at helping the young unemployed into work.

""There is no doubt it will take the committed efforts of both of Scotland's governments to overcome the scourge of joblessness among our young people and I will work with the Scottish Government, agencies, civic Scotland and anyone else to get people back into jobs.

""There has been a lot of interest in the constitution and the uncertainty surrounding Scotland's future in the last few days but Scotland should know nothing will divert this government from  the challenges we face in creating long-term, sustainable jobs.""

- Employment in Scotland fell by 8,000 over the quarter, and fell by 5000 over the year to stand at 2,467,000.

- The Scots employment rate fell over the quarter to 70.9 per cent. The rate is above the UK average of 70.3 per cent.

- Unemployment in Scotland increased by 19,000 over the quarter and rose by 7,000 over the year.  The level now stands at 231,000.

- At 8.6 per cent, the Scots unemployment rate is now above the UK rate as a whole which stands at 8.4%.

- Economic Activity increased by 11,000 over the quarter and now stands at 2,698,000. The Economic Activity rate increased by 0.3 per cent over the quarter, and stands at 77.7 per cent.

- In December 2011, the number of people out of work and claiming Jobseeker's Allowance (JSA) was 140,900.
",Scotland Office,January Labour Market Statistics for Scotland,"Unemployment in Scotland rose by 19,000, to 231,000 in the period September to November 2011, according to Office for National Statistics (ONS) data released today. The Scottish unemployment rate is 8.6 per cent, above the UK average of 8.4 per cent.",http://www.scotlandoffice.gov.uk/scotlandoffice/16790.html,18 Jan 2012
"Lord Wallace of Tankerness QC, the Advocate General for Scotland, has today said the Scottish  Government's forthcoming consultation paper cannot conceivably produce a solution to the legal problem which prevents Holyrood holding an independence referendum.

Lord Wallace reiterated the UK Government's legal view that the Scottish Parliament has no power to legislate for a referendum on independence and said it would make a great deal of sense for the First Minister and the Scottish Secretary to meet so that they can clear the path to a legal, fair and decisive referendum for the Scottish people.

The Advocate General said that any attempt by the Scottish Government to proceed with a referendum which is outside the Rule of Law would be ""a very worrying step for a democratically elected government to take"".

Lord Wallace will  give a lecture at Glasgow University on 20 January on Scotland's constitutional future. Speaking ahead of that lecture Lord Wallace commented on the UK Government's plans to facilitate a referendum on Scottish independence.

Lord Wallace said:

 ""Let me be clear. The Government wishes the referendum to take place on a sound legal basis, thus avoiding court challenge. The Government has therefore proposed a solution that involves devolving power to the Scottish Parliament that would avoid a referendum bill being dragged through the courts.  It would make a great deal of sense for the First Minister and the Scottish Secretary to meet so that they can start clearing the path to a legal, fair and decisive referendum for the Scottish people. There is no reason to delay these talks while we await  the Scottish Government's own consultation paper because there is nothing that could conceivably be in that document that will alter the legal position we face.

""The UK Government's legal view is that the Scottish Parliament has no power to deliver a referendum on independence. It does not matter whether such a referendum is described as ""advisory"", ""consultative"" or providing a basis for negotiations.  The Scottish Parliament has no power to legislate for a referendum on independence. 

""There are important consequences which follow from this.  One is that to proceed with a referendum that is outside of its legal powers would be to act contrary to the Rule of Law.  This is not a mere legal technicality as some commentators have suggested.  Government according to law is a fundamental principle of democracy.  To flout this principle would be a very worrying step for a democratically elected government to take.

""The second is that Scottish Parliament legislation paving the way for an unlawful referendum would be open to challenge in the courts.  That challenge could be initiated in the Court of Session by any individual or organisation with sufficient interest to bring proceedings.  It is important to note that a successful challenge in the courts could not only invalidate the outcome of the referendum -  it could stop the referendum happening in the first place.

""The UK Government acknowledges the political mandate achieved by the SNP at the May 2011 election.  It is precisely because of this political mandate that the UK Government is offering means to ensure that the Scottish Parliament has the power to deliver a referendum that is fair, legal and decisive.  The Section 30 order included in the Government's consultation paper would achieve this, and we are consulting in order to take the views of others on the issue.

 ""The UK Government is happy to discuss these crucially important constitutional issues.  As well as publishing the consultation itself, I look forward to a full airing of views at the question and answer session which will follow my public lecture.  I would also encourage both individuals and organisations to respond to the consultation ""
",Scotland Office,Advocate General: Scottish Government consultation won't remove legal problem with referendum,"The Advocate General said that any attempt by the Scottish Government to proceed with a referendum which is outside the Rule of Law would be ""a very worrying step for a democratically elected government to take""",http://www.scotlandoffice.gov.uk/scotlandoffice/16797.html,16 Jan 2012
"Scottish Secretary Michael Moore is asking the First Minister to meet him in Edinburgh this week for talks on the independence referendum.

The UK Government wants to provide Holyrood with the legal powers for a fair and decisive referendum. Michael Moore has already spoken to Mr Salmond proposing talks and will write suggesting a specific time and place - Thursday in Edinburgh - to try and get things moving.

The Secretary of State said 'we want to have this referendum made in Scotland and we can start the work  in the nation's Capital this week.'

The UK Government made clear yesterday that they are happy to engage with the Scottish Government at all levels but that the first contact should be with the Scottish Secretary who is leading the referendum consultation.

Moore also said that he and his Ministerial colleagues will be out in Scotland this week listening to what people think about his referendum plans as well as making the case for Scotland remaining in the UK. Other UK ministers from Defra, BIS and the Foreign Office are due to be in Scotland over the next week and will help with this effort.

Moore will be addressing the CBI in Edinburgh on Monday and the Advocate General will be setting out the legal situation with the referendum at Glasgow University on Friday.

Michael Moore said:

'Since Tuesday, when I set out our plans for how  Scotland can hold a legal referendum, I have spoken to the First Minister and asked him to meet for talks. I have also written to him.

'I was pleased to hear him yesterday suggest talks with the UK Government and I want us to meet in Edinburgh this week to start making progress. We want this referendum made in Scotland and we should start the work this week in the nation's Capital.

'There are real legal problems that need solved and I hope we all share the desire to have a legal, fair and decisive referendum.  We should not waste any more time talking about talks. Let's get round the same table and get cracking with the arrangements for the most important decision Scotland will ever make.

'The sooner we sort out the process, the sooner we can get into the real debate about Scotland's future.'
",Scotland Office,Moore wants 'Made in Scotland' talks with FM this week,The Secretary of State has invited the First Minister to a meeting in Edinburgh to discuss issues surrounding the independence referendum,http://www.scotlandoffice.gov.uk/scotlandoffice/16772.html,14 Jan 2012
"Being part of the United Kingdom means Scotland's farmers and fishermen can punch above their weight in Europe and the wider world, the Secretary of State for Scotland said today.

Michael Moore today welcomed the Environment Secretary, Caroline Spelman, to Scotland for a series of visits in the Lothians and Borders.

Moore accompanied Spelman on a visit to Eyemouth, where they met with local fishermen and seafood processors.  They then travelled on to Stow, to meet with representatives from the National Farmers Union of Scotland, and to the Glenkinchie Distillery in Pencaitland, where they discussed issues related to the whisky industry with officials from the Scotch Whisky Association.

Moore commented:

""I was delighted to join the Environment Secretary on her visits to local producers.  Scottish farmers and fishermen make a huge contribution to our society, producing the food we eat and supporting the wider economy, particularly in rural and coastal communities.  Scottish produce is renowned for its quality around the world, with exports increasing.

""The UK, as one of the world's leading economies, has the clout to negotiate the best possible deal for our producers with the European Union and to open up new markets through global trade negotiations.

""We are stronger when we speak with one voice.  We must continue to work together with the Scottish Government and the industry in Scotland to fight our corner around the world.""

Caroline Spelman said:

 ""Scotland's produce is becoming the envy of the world thanks to the hard work of fishermen, farmers and everyone else involved in food and drink production.

""The success that the industry achieved in 2011 was phenomenal and brought enormous benefits to the economy of not just Scotland but the whole of the UK.

""We must now find a way to make sure that the industry can thrive by reforming the Common Agriculture Policy and Common Fisheries Policy in a way that allows farmers and fishermen to continue to be successful in the future.""
",Scotland Office,Moore: UK has the clout to fight Scottish agricultures corner worldwide,"Being part of the United Kingdom means Scotland¿s farmers and fishermen can punch above their weight in Europe and the wider world, the Secretary of State for Scotland said today",http://www.scotlandoffice.gov.uk/scotlandoffice/16767.html,12 Jan 2012
"The UK Government is prepared to change the law so that the Scottish Parliament can hold a legal referendum on independence, Scottish Secretary Michael Moore announced today. The Government will now consult the people of Scotland on the best way to facilitate a legal, fair and decisive referendum.

In a statement to the House of Commons, the Secretary of State revealed that the  UK Government's clear legal view is that any independence referendum which the Scottish Parliament legislated for with its current powers would be unlawful as the constitution is reserved to the UK Parliament under the Scotland Act 1998.

Michael Moore said the UK Government's strongly held view is that Scotland should remain part of the UK but he told MPs that the 2011 Holyrood election result meant that there should now be a legal, fair and decisive referendum on Scottish independence.

The UK Government has today published a consultation document which looks at the ways in which a legal referendum on independence could be held.  While the document sets out a number of ways that a referendum could be legislated for, Ministers are prepared to use a Section 30 Order from the 1998 Scotland Act to devolve the necessary legal power to the Scottish Parliament. Such an Order requires the approval of the both the Scottish and UK Parliaments. 

The Government is clear that a referendum should be held sooner rather than later and the consultation proposes that the Order gives the Scottish Parliament power to hold a referendum by a specific date:  the Government has not set out a view on the specific date for a referendum in the consultation and invites views on when a referendum should be held. 

The paper also sets out what the Government regards as the essential criteria for a fair and decisive referendum. The Government is now consulting on these important matters with people in Scotland and will also seek the views of the Scottish Government. The consultation seeks views on issues such as:

- Should there be a single question on independence requiring a straight ""yes/no"" answer?  
- Should the referendum be run by the Electoral Commission following well established rules?  
- Who should have the vote?  
- What views are there on the timing of the referendum?

Speaking in the House of Commons, Michael Moore said:

""Since last year's election, we have been asking the Scottish Government to set out its plans for a referendum.  But so far it has not done so. In particular, it has not said anything more about its legal power to deliver a referendum. 

""This is not an issue that can be ducked. To legislate for a referendum on independence, the Scottish Parliament must have the legal power to do so.  It is the Government's clear view that the Scottish Parliament does not have that legal power.

""Scotland's future within the UK will be the most important decision we, as Scots, take in our lifetime.  It is essential that the referendum is legal, fair and decisive.  As a Government, we have been clear since May 2011 that we will not stand in the way of a referendum on independence.  But neither will we stand on the sidelines and let uncertainty continue.

""The 1998 Scotland Act is clear.  The Scottish Parliament cannot legislate on matters reserved to this Parliament.  Amongst the issues that are reserved is the constitution, including ""the Union of the Kingdoms of Scotland and England"".  Any Act of the Scottish Parliament that ""relates to"" a reserved matter is quite simply ""not law"". Whether or not a Bill ""relates to"" a reserved matter depends on its purpose and effect.  

""We are clear that the Scottish Government¿s purpose in bringing forward a referendum is to secure independence. Their intended effect is to secure a mandate for negotiating this.  Both purpose and effect relate directly to the reserved matter of the Union. Any distinction between a binding or advisory referendum is artificial.

""As the law stands, an independence referendum bill is outside the competence of the Scottish Parliament.  A bill could be challenged in court and it is our view that the Scottish Government would lose.

""So the consultation paper I am publishing today sets out different ways to deliver a legal, fair and decisive referendum.

""It explains how the powers for a referendum could be devolved under the Section 30 order-making provisions in the Scotland Act 1998 - our preferred approach.  It also invites views on devolving the powers using other legislation, including the current Scotland Bill, and for opinions on the possibility of running the referendum directly.

""Given the clear legal problem that exists, we want to work with the Scottish Government to provide the answer.  This is not about the mandates of Scotland's two governments, or who calls the shots.  It is about empowering the people of Scotland to participate in a legal referendum.  That means that the UK Government is willing to give the Scottish Parliament the powers to hold a referendum which they otherwise cannot do legally.

""Mr Speaker, this Government believes passionately in the United Kingdom. For over 300 years our country has brought people together in the most successful multi-national state the world has known. This Government is clear that independence is not in the interests of Scotland.  The United Kingdom brings strength to Scotland; Scotland brings strength to the United Kingdom.

""We recognise that this is not a view shared by all.  But politicians from both sides of the debate owe it to everyone in Scotland to ensure that the referendum is delivered in a legal, fair and decisive way. The future of Scotland must not be worked out in secret, behind closed doors.  Nor determined by wrangling in the courts.    It is my task to ensure this referendum is made in Scotland, by the people of Scotland, for the future of Scotland.""

The UK Government has now invited the Scottish Government to hold talks on trying to agree a way forward.

The consultation will run until March 9 after which the UK Government will announce how it intends to proceed.
",Scotland Office,UK Government offers to transfer power to Holyrood for independence referendum,"The UK Government is prepared to change the law so that the Scottish Parliament can hold a legal referendum on independence, Scottish Secretary Michael Moore announced today. The Government will now consult the people of Scotland on the best way to facilitate a legal, fair and decisive referendum.",http://www.scotlandoffice.gov.uk/scotlandoffice/16775.html,10 Jan 2012
"The Scotland Office Minister David Mundell visited the Scottish firm which built the Olympic basketball stadium in Glasgow today to see first-hand how Scotland is already benefiting from London hosting the 2012 Olympic and Paralympic Games this summer.

The Minister took a tour of Barr Construction to hear more about the challenges of building one of the largest temporary venues ever built and met with management and staff who had worked on delivering the project.

 David Mundell said:

""The Olympic year is going to be a great success for every part of the UK, including Scotland. Barr Construction has had a key role to play in delivering the Olympic facilities on time and on budget - they are a great example of just one of more than 100 Scottish companies doing well from the Games and the economic growth they are bringing to the whole of the UK.

""In addition to Scotland hosting a number of pre-Games training camps and Olympic football at Hampden , we will also have a number of Scottish Olympians competing in the Games. I am sure the whole country will support them and this once in a lifetime event."" 

This morning, the Secretary of State for Scotland Michael Moore attended a Cabinet meeting on the Olympic Park in Stratford, East London, chaired by the Prime Minister David Cameron. The meeting focused on how every part of the UK can take full advantage of the Olympic and Paralympic Games and the unique chance that that the country has to sell itself to a massive international audience.   
This afternoon, Cabinet Ministers are visiting towns and cities across the United Kingdom to see for themselves how businesses, sports facilities, schools and organisations are benefiting from the Olympic and Paralympic Games.

With little over seven months before the opening ceremony, the construction phase is 95% complete and the project continues to be on time and on budget. Since work began on the East London site in 2008, £6.39billion worth of contracts have been awarded to over 1500 business in the UK.

 More than 100 Scottish companies have secured tens of millions of pounds of contracts related to the Games, with 25 Scottish firms being directly involved in building the Olympic Park, including:

- Barr in Glasgow - which helped to build the basketball arena, one of the biggest temporary venues ever built  
- Impact Test Equipment in North Ayrshire - which provided aggregate for the Aquatics Centre  
- Balmoral Sectional Tanks in Aberdeen - which supplied utilities for the Olympic Stadium

Many more Scottish firms have picked up other Olympic-related contracts - from producing official Games merchandise, to providing temporary power across many of the Games venues.

Secretary of State for Culture, Olympics, Media and Sport, Jeremy Hunt said:

""London 2012 gives us an opportunity to showcase the best of Britain to the world and what this country has to offer. From our beautiful countryside to historic sites, sporting venues to our amazing cultural offer Britain really does have something for everyone. I am confident that we will put on a sporting spectacular this summer with some magical, medal moments that we will never forget and that will inspire many young people to get involved in sport.""
",Scotland Office,David Mundell in Glasgow to see how Olympics is benefiting Scottish business,The Scotland Office Minister David Mundell visited Barr Construction which built the Olympic basketball stadium today,http://www.scotlandoffice.gov.uk/scotlandoffice/16793.html,9 Jan 2012
"Commenting on the subject of a referendum on independence, the Secretary  of State for Scotland Michael Moore said:

""As a Scot I think it is vital that the Scottish people can make a clear decision about our future within the United Kingdom.

""There's a great deal of legal uncertainty about running the referendum which is creating economic uncertainty. That is bad for jobs and investment.

""Our priority is to ensure that the decision is taken in Scotland, by people in Scotland.  

""What I want to do is get rid of the legal uncertainty and allow the people in Scotland to decide our future in a clear and decisive way.

""I  will be setting out to Parliament what we think is most appropriate way of achieving this objective.

""Any referendum must allow people in Scotland to determine their own future and decide whether they wish to stay part of the longest, most successful partnership of nations in history.""
",Scotland Office,Secretary of State: Statement on independence referendum,,http://www.scotlandoffice.gov.uk/scotlandoffice/16777.html,9 Jan 2012
"As we enter the new year I expect that the economy and constitution will feature just as prominently as they did in 2011.

While the economy has a direct effect on the lives of everyone it is normally the case that constitutional debate only really concerns those of us in the world of politics and the media. That is about to change as Scotland leaves 2011 knowing that we will soon need to make a decision on whether we wish to remain part of the UK.

We have seen the second year of the coalition government working towards getting the economy back on track. The global economic picture has been difficult, particularly within the Eurozone, but we have stayed our course and will be the better for it. The UK economy has remained stable against that backdrop, underlining the fact we made the right choices at the right time. That is what good government should be - making a choice and sticking with it.

Our deficit reduction plan has helped restore confidence in th UK economy and kept interest rates low but we are by no means immune to the issues facing our trading partners in the euro zone. Our borrowing costs have fallen to record lows, which shows the UK government debt is seen as a safe bet in the global debt crisis and our credit rating has been restored to its previous highest possible level.

But there is still much to do, particularly when it comes to employment. With the Scottish unemployment rate higher than the rest of the UK, both of Scotland's governments must focus on the issue in 2012. It will not be easy but we have already put major initiatives such as the Youth Contract in place and will continue to do all we can to get people back into work.

There are few issues of more importance to us all and I want to see all our powers, both reserved and devolved, brought to bear on it. That includes the pressing issue of youth unemployment which continues to affect cities and towns across Scotland. After a series of local events this year, in March I will host a national summit bringing together politicians, agencies, employers and others as we continue to put our collective effort into the fight to get young people into the job market.

But there is another issue facing Scotland which now looms large. The Scottish election result in May means that all of us across Scotland will soon need to decide where we stand on staying in the UK or becoming a separate country.  It will be the most important political decision that the Scottish people will ever make.

I am confident that people will listen to the arguments and make the right choice, but I want to make two important points on how we conduct this debate in 2012.

Firstly, we must have an open and frank debate. Everyone is entitled to their view and it is particularly important that experts in different fields are listened to respectfully, even if they are not agreed with.

I do not believe people will be neutral on this issue next year, given the great uncertainty it generates. It is too important - and potentially irreversible -  a subject for silence. We saw a number of strong opinions and arguments in favour of Scotland's place in the UK this year but I know many others hold similar views. Next year is the time to air them and choose to enter the debate: at stake is Scotland's place in the world and our future prosperity.

 Secondly, we need clarity in the next few months on how this important decision is to be arrived at.  Since May the Scottish Government has not been clear. As it stands we might have a referendum in 2014, 2015 or 2016. There is talk of multiple questions, different options and creating a whole new body to run the poll.  It's only fair for people in Scotland to be able to understand the plan.

I believe it is right that there now should be a referendum.  But equally, the Scottish people have the right to expect a referendum that is legal, fair and decisive. There are still many questions for the Scottish Government to answer.

Next year will also see the UK Government complete the legislation that transfers the largest ever set of financial powers to the Scottish Parliament. This will trigger a different kind of devolution with much greater financial accountability for MSPs at Holyrood.  
   
There are still some important milestones to pass. There are numerous amendments tabled in the House of Lords for the Committee stage which begins in late January. The Scottish Government want to see some changes, but we still need to see more detail from them. We will continue to work to fulfil this key coalition pledge to transfer much greater powers to the Scottish Parliament.

 I look forward to fighting hard for Scotland in 2012 and its continuing place in the UK, the most successful partnership of nations in history.

 The Olympics and the Queen's Diamond Jubilee  will also provide much for Scots everywhere to enjoy and celebrate in 2012.

 I wish you all a very happy and prosperous New Year.
",Scotland Office,Secretary of State's New Year Message,Michael Moore says the economy and constitution will be the focus of the coming year,http://www.scotlandoffice.gov.uk/scotlandoffice/16778.html,31 Dec 2011
